Card_ID,Merchant_ID,Amount,Currency,Date,Status
126,345,1433.1,USD,2024-07-03,Declined
258,57,319.53,GBP,2024-10-07,Pending
182,261,2157.72,USD,2024-08-19,Declined
257,218,4606.93,USD,2024-03-31,Pending
279,276,3283.89,EUR,2024-03-09,Declined
166,25,2885.28,INR,2024-09-18,Declined
203,394,336.15,JPY,2024-05-30,Reversed
65,468,1534.61,USD,2024-08-03,Pending
128,39,31.45,EUR,2024-06-19,Pending
280,60,4917.46,JPY,2024-12-16,Approved
488,240,3708.4,EUR,2024-07-17,Declined
72,361,1572.6,GBP,2025-01-07,Declined
18,175,86.11,INR,2024-08-21,Reversed
461,396,3005.14,JPY,2024-02-29,Reversed
292,402,2566.75,JPY,2025-01-07,Pending
133,26,1062.77,JPY,2024-03-09,Reversed
121,458,3777.89,JPY,2024-03-01,Reversed
245,67,1002.91,EUR,2024-07-21,Approved
334,107,784.22,USD,2025-01-23,Declined
458,1,3665.81,INR,2024-03-16,Approved
455,285,1304.34,EUR,2024-08-03,Reversed
100,310,4514.75,GBP,2025-02-12,Pending
239,82,82.58,JPY,2024-03-14,Declined
410,43,3577.07,JPY,2024-05-02,Reversed
126,86,3017.01,EUR,2024-03-06,Reversed
314,249,101.58,EUR,2024-08-14,Reversed
163,362,1372.48,USD,2024-04-13,Pending
125,116,769.67,GBP,2024-09-04,Declined
124,130,1094.64,EUR,2024-07-03,Reversed
330,158,1188.37,GBP,2024-06-09,Declined
134,122,619.94,INR,2024-06-06,Pending
155,124,2926.51,USD,2024-08-10,Reversed
317,200,3623.11,JPY,2024-07-27,Pending
178,218,962.27,GBP,2024-06-19,Declined
194,122,1101.85,JPY,2024-03-12,Reversed
289,377,466.66,USD,2024-12-06,Pending
62,225,4339.09,INR,2024-12-07,Declined
10,249,3411.2,INR,2024-08-23,Declined
59,364,191.2,USD,2024-10-31,Pending
30,149,110.46,GBP,2024-03-24,Approved
127,259,4365.75,USD,2024-05-12,Declined
461,166,2910.58,JPY,2024-06-23,Declined
219,89,3939.33,JPY,2024-09-14,Declined
216,14,2367.89,INR,2024-09-22,Reversed
447,50,3207.47,USD,2024-10-17,Pending
464,486,2205.84,INR,2024-10-27,Approved
346,225,1201.99,JPY,2024-06-28,Approved
308,378,4937.73,EUR,2024-05-22,Declined
334,114,1676.83,GBP,2024-07-29,Approved
136,479,968.11,INR,2024-05-20,Approved
48,156,1386.0,USD,2024-07-17,Declined
84,305,4571.72,INR,2024-12-13,Declined
39,500,4109.09,GBP,2024-02-27,Approved
303,417,4391.52,EUR,2024-10-11,Pending
311,95,4006.68,JPY,2024-11-23,Reversed
411,225,4418.19,EUR,2024-03-01,Reversed
67,258,3305.99,GBP,2024-02-22,Declined
57,381,2124.39,GBP,2024-03-13,Reversed
103,285,926.04,EUR,2024-11-30,Pending
333,79,381.19,JPY,2024-07-16,Approved
291,201,676.66,INR,2024-04-23,Approved
281,211,2495.2,EUR,2024-07-06,Reversed
127,433,1543.38,GBP,2024-11-01,Declined
43,493,332.42,GBP,2025-02-11,Approved
476,288,13.7,USD,2024-03-30,Reversed
244,440,2510.5,USD,2025-02-18,Pending
342,213,2117.56,JPY,2024-09-12,Reversed
363,370,997.85,JPY,2024-05-23,Declined
478,150,2246.36,USD,2024-09-23,Approved
97,206,4372.39,JPY,2024-08-14,Approved
84,252,4724.88,GBP,2024-09-10,Pending
178,24,3405.52,USD,2024-12-13,Approved
265,153,4717.96,EUR,2024-05-05,Reversed
462,471,2382.54,GBP,2024-11-21,Pending
69,191,687.25,GBP,2024-07-28,Reversed
140,152,4744.94,EUR,2024-09-01,Reversed
374,497,1159.75,JPY,2024-07-30,Reversed
37,34,2324.02,JPY,2024-06-10,Pending
455,406,1597.3,JPY,2024-02-21,Approved
267,229,3061.96,USD,2024-08-24,Pending
28,359,2703.24,USD,2024-11-18,Declined
487,293,2048.49,GBP,2024-11-19,Declined
336,246,3380.21,USD,2024-05-05,Declined
295,470,1473.21,EUR,2024-03-08,Approved
454,392,112.08,INR,2024-11-02,Reversed
443,198,2621.36,JPY,2024-08-20,Pending
396,45,2672.21,JPY,2024-09-18,Approved
97,344,4620.72,GBP,2024-11-08,Reversed
267,215,1022.59,USD,2024-06-26,Reversed
118,280,4595.54,INR,2024-11-29,Approved
197,171,1386.47,INR,2024-03-19,Reversed
110,188,178.77,INR,2025-02-05,Approved
271,129,1595.06,INR,2025-01-01,Approved
126,139,2633.68,EUR,2024-03-26,Declined
224,398,1894.51,GBP,2024-06-09,Pending
41,44,2153.84,USD,2024-12-30,Pending
280,257,3994.29,JPY,2024-06-12,Approved
366,360,4855.99,USD,2024-09-05,Pending
49,406,2706.46,GBP,2024-12-03,Reversed
20,405,751.9,EUR,2024-12-01,Reversed
182,498,2633.35,USD,2024-08-18,Reversed
226,81,2555.7,USD,2024-03-10,Approved
180,480,472.78,GBP,2024-11-24,Reversed
133,157,1120.22,JPY,2024-09-29,Reversed
161,192,463.32,INR,2024-09-23,Pending
13,153,4080.9,GBP,2024-12-29,Declined
383,375,115.92,GBP,2025-01-03,Approved
433,340,4966.85,EUR,2024-06-14,Approved
6,88,2465.94,INR,2024-03-05,Pending
251,195,3112.25,INR,2024-11-12,Declined
380,333,2881.52,EUR,2024-11-19,Reversed
230,45,1275.62,INR,2024-05-11,Approved
74,77,1004.49,GBP,2024-11-08,Declined
116,21,921.68,GBP,2024-10-21,Pending
419,296,4059.79,INR,2024-04-25,Approved
293,291,2092.92,INR,2025-02-14,Declined
341,211,3570.2,USD,2024-12-18,Pending
123,308,1367.5,JPY,2024-02-25,Approved
32,343,3602.84,GBP,2024-12-06,Pending
62,46,3002.51,INR,2024-09-26,Approved
101,28,2022.79,INR,2024-02-23,Approved
61,146,4077.75,USD,2024-07-01,Approved
347,164,4766.32,JPY,2024-12-02,Declined
68,152,4803.6,EUR,2024-04-01,Declined
331,6,4893.06,INR,2024-12-14,Declined
379,92,2028.15,EUR,2024-07-21,Reversed
436,121,2375.66,EUR,2024-10-09,Reversed
220,194,2823.35,USD,2024-06-28,Declined
18,352,3727.7,JPY,2025-01-08,Pending
278,32,4739.53,INR,2024-09-12,Declined
122,169,4737.39,EUR,2024-05-07,Pending
170,479,2569.55,JPY,2025-01-23,Declined
104,267,1438.93,USD,2024-11-09,Pending
403,407,2725.85,JPY,2025-01-28,Reversed
67,366,443.05,INR,2025-01-05,Declined
28,321,539.17,GBP,2024-05-06,Declined
83,323,1524.06,USD,2024-11-30,Approved
218,339,1986.67,USD,2024-04-03,Pending
96,263,4287.72,INR,2024-04-07,Pending
145,336,512.08,EUR,2025-01-13,Declined
150,324,4673.5,GBP,2024-10-02,Declined
338,416,3857.7,INR,2024-08-17,Approved
157,415,4479.66,EUR,2025-01-11,Approved
11,373,3354.8,INR,2025-01-01,Pending
316,205,3662.74,INR,2024-10-22,Declined
391,240,1258.81,EUR,2025-01-27,Approved
315,103,3282.01,EUR,2024-09-04,Reversed
320,137,2375.9,USD,2024-11-07,Declined
102,292,546.26,GBP,2024-12-10,Reversed
152,483,1301.6,JPY,2024-12-12,Reversed
236,405,2695.97,JPY,2024-12-24,Reversed
467,147,1845.17,EUR,2024-06-09,Pending
379,124,2815.38,INR,2024-03-12,Reversed
197,20,3820.96,GBP,2024-07-27,Approved
46,56,2718.62,JPY,2024-12-26,Declined
500,356,53.46,EUR,2024-06-12,Pending
186,419,1063.5,JPY,2024-07-02,Approved
111,8,3848.31,INR,2024-06-14,Approved
400,42,681.44,EUR,2024-10-27,Pending
228,204,3641.26,JPY,2024-06-06,Declined
442,155,1321.61,JPY,2024-09-20,Pending
196,475,3202.61,JPY,2025-01-19,Declined
276,24,3705.03,INR,2025-01-09,Pending
376,33,580.85,JPY,2024-04-10,Approved
227,261,2575.89,JPY,2024-10-01,Pending
268,96,2827.14,USD,2024-04-11,Approved
192,348,4374.78,EUR,2024-04-04,Declined
27,337,2101.93,GBP,2024-07-26,Reversed
141,437,2063.31,EUR,2024-12-06,Reversed
364,27,483.32,USD,2024-11-08,Declined
152,152,1312.11,EUR,2024-06-19,Approved
70,335,4706.79,EUR,2024-04-06,Reversed
383,284,293.47,INR,2024-08-28,Reversed
382,461,4485.51,INR,2024-06-05,Approved
408,305,820.49,JPY,2024-10-03,Reversed
381,335,1668.15,USD,2024-11-23,Declined
468,422,3761.11,INR,2024-08-20,Pending
453,199,2215.71,USD,2024-10-06,Declined
149,353,477.26,JPY,2024-09-13,Declined
468,228,2835.04,EUR,2024-03-04,Reversed
191,99,4603.05,INR,2025-02-07,Declined
38,142,86.7,JPY,2024-05-23,Approved
364,52,628.0,JPY,2025-01-16,Reversed
81,382,1420.78,EUR,2024-08-11,Reversed
435,329,466.91,INR,2024-05-07,Declined
224,378,2448.13,USD,2025-01-22,Pending
279,56,1149.54,GBP,2024-03-01,Reversed
388,143,2064.32,USD,2024-08-04,Reversed
397,407,2912.33,EUR,2025-01-19,Pending
277,263,2011.11,JPY,2024-09-02,Pending
122,369,3075.41,JPY,2024-11-19,Reversed
65,425,4125.74,INR,2024-10-08,Pending
69,6,2997.93,JPY,2024-06-16,Approved
439,252,4565.41,USD,2024-11-29,Reversed
426,215,2213.11,USD,2025-01-05,Reversed
395,389,686.37,USD,2024-04-15,Pending
495,69,109.76,GBP,2024-04-16,Declined
147,236,567.48,JPY,2024-07-23,Reversed
148,470,2500.54,GBP,2024-03-24,Approved
446,435,4175.74,USD,2024-12-09,Approved
257,416,3081.93,EUR,2024-10-05,Declined
145,250,4162.5,USD,2025-01-22,Reversed
183,98,185.2,INR,2024-07-27,Approved
387,336,1840.96,JPY,2024-06-29,Pending
4,163,1611.07,GBP,2024-05-29,Declined
371,129,818.9,INR,2025-02-11,Declined
75,392,65.22,JPY,2024-05-04,Reversed
211,297,2829.72,JPY,2024-03-13,Pending
234,280,2168.51,EUR,2024-07-31,Reversed
350,328,3448.84,JPY,2024-11-28,Approved
126,337,3376.19,INR,2025-01-01,Approved
459,229,2180.94,INR,2024-05-17,Declined
207,306,88.12,INR,2024-12-09,Declined
193,374,421.55,JPY,2024-12-16,Declined
189,213,1103.73,USD,2024-09-12,Pending
372,441,4721.58,JPY,2024-04-16,Pending
206,413,372.45,JPY,2024-04-26,Declined
92,258,3011.87,JPY,2024-06-11,Reversed
108,233,4519.89,USD,2024-10-24,Declined
60,112,4107.39,USD,2024-05-27,Declined
264,348,3040.35,INR,2025-01-13,Reversed
110,45,1542.79,GBP,2024-07-24,Reversed
313,454,4034.69,USD,2024-07-27,Declined
347,432,1563.83,INR,2024-02-20,Declined
162,101,2753.84,GBP,2024-11-03,Approved
363,346,2517.93,INR,2024-08-06,Approved
311,190,407.95,EUR,2024-09-10,Declined
467,418,3086.29,GBP,2024-07-22,Declined
495,412,3746.59,EUR,2024-08-31,Declined
483,317,604.64,GBP,2024-11-13,Approved
233,137,398.12,GBP,2024-05-22,Approved
247,418,3467.15,GBP,2024-04-23,Pending
384,78,2401.88,INR,2025-02-04,Reversed
150,171,52.47,JPY,2024-06-17,Pending
476,84,631.11,GBP,2024-04-28,Reversed
279,376,134.2,GBP,2024-04-01,Declined
6,28,2539.24,JPY,2024-04-01,Declined
270,445,1382.77,USD,2025-01-08,Declined
357,87,4679.87,JPY,2024-06-28,Declined
122,350,2028.51,JPY,2024-06-08,Reversed
158,309,766.23,EUR,2024-10-09,Declined
407,140,1035.59,INR,2024-11-13,Declined
377,169,4105.81,INR,2024-04-08,Reversed
240,333,1241.41,GBP,2024-12-09,Declined
64,393,1528.63,USD,2025-02-09,Declined
428,480,3327.49,GBP,2024-07-01,Approved
192,37,1142.18,USD,2024-05-27,Declined
483,421,1058.68,GBP,2024-10-11,Pending
260,393,2415.79,JPY,2024-03-06,Declined
215,477,1051.14,USD,2024-03-11,Reversed
179,341,3069.35,GBP,2025-02-05,Approved
167,458,4617.92,GBP,2024-09-22,Reversed
374,112,3121.86,GBP,2025-02-08,Declined
273,303,389.13,USD,2024-05-14,Approved
10,22,3585.57,USD,2025-01-04,Declined
120,27,389.47,USD,2024-04-25,Pending
368,392,2975.79,USD,2024-06-10,Pending
53,358,1817.4,USD,2024-04-20,Pending
175,267,4790.21,GBP,2024-05-16,Declined
378,45,2591.51,INR,2024-12-28,Pending
295,39,180.13,USD,2024-06-20,Declined
499,342,2798.93,EUR,2024-12-28,Pending
442,76,2586.25,GBP,2024-05-18,Reversed
379,171,3091.6,INR,2024-11-22,Declined
255,329,3397.81,EUR,2024-12-17,Approved
52,472,1969.91,JPY,2025-02-01,Pending
455,288,553.47,GBP,2024-03-23,Declined
373,269,3858.29,USD,2025-01-07,Declined
498,374,4723.75,INR,2025-01-11,Approved
67,279,2910.64,GBP,2024-06-24,Reversed
404,220,1703.63,JPY,2024-06-28,Pending
482,212,4070.52,USD,2024-12-09,Reversed
175,67,354.45,EUR,2024-08-18,Declined
80,249,2060.04,EUR,2024-12-04,Approved
1,162,3427.77,INR,2024-07-07,Pending
25,228,904.43,USD,2024-04-25,Reversed
78,473,2464.76,INR,2024-11-09,Reversed
494,151,1716.2,USD,2024-03-17,Declined
295,48,3810.51,EUR,2024-12-03,Approved
398,417,4209.54,INR,2024-05-09,Reversed
324,226,372.05,USD,2024-04-04,Pending
463,93,3029.17,USD,2024-09-03,Reversed
255,226,451.36,USD,2025-01-16,Approved
265,450,615.5,INR,2025-01-20,Pending
375,358,2090.39,EUR,2024-06-18,Approved
429,267,3018.18,JPY,2025-02-07,Declined
345,285,2317.76,USD,2024-03-24,Reversed
68,220,4772.66,GBP,2024-09-28,Pending
69,455,3028.06,EUR,2024-10-03,Pending
110,423,573.59,USD,2024-06-22,Declined
284,90,276.25,GBP,2024-12-07,Pending
366,416,2330.43,JPY,2024-08-14,Pending
64,313,175.13,JPY,2024-03-05,Reversed
58,145,2163.16,INR,2025-01-30,Declined
155,293,359.47,EUR,2024-10-01,Declined
108,23,1858.26,INR,2024-12-12,Declined
241,300,3060.1,JPY,2025-02-02,Pending
89,241,1781.09,INR,2024-06-23,Declined
53,318,3859.99,USD,2024-10-14,Reversed
14,461,3942.22,GBP,2024-04-22,Reversed
314,234,2859.62,EUR,2024-08-15,Reversed
197,248,2000.14,EUR,2024-03-15,Reversed
257,73,576.66,EUR,2024-09-01,Reversed
313,56,796.64,JPY,2024-07-14,Declined
499,319,1082.61,USD,2024-09-17,Reversed
500,435,1524.37,USD,2025-01-20,Approved
127,442,598.19,JPY,2025-01-07,Reversed
483,421,275.02,USD,2024-08-01,Approved
27,341,2647.19,USD,2024-03-11,Approved
109,122,2116.37,INR,2024-08-10,Declined
151,183,1249.18,GBP,2024-04-17,Approved
168,478,3931.83,GBP,2024-09-20,Pending
408,442,4036.82,INR,2025-01-24,Reversed
143,74,1789.63,GBP,2024-11-18,Pending
392,85,4923.35,JPY,2024-11-24,Declined
263,200,2509.67,JPY,2024-10-13,Reversed
398,439,4666.94,USD,2024-06-17,Pending
349,316,2758.28,USD,2024-05-03,Reversed
402,104,3287.93,JPY,2024-06-06,Declined
409,418,2300.2,USD,2024-09-28,Reversed
463,456,4344.17,JPY,2025-01-18,Reversed
270,242,4551.46,USD,2024-08-01,Declined
112,345,2806.07,JPY,2024-04-01,Declined
151,450,4957.44,EUR,2025-02-09,Declined
109,293,3078.55,GBP,2024-04-26,Declined
101,494,360.27,USD,2024-02-28,Declined
211,116,3227.75,GBP,2024-03-04,Reversed
169,245,1069.53,EUR,2025-02-07,Declined
419,46,4465.36,USD,2024-12-31,Reversed
492,264,1902.73,EUR,2024-07-15,Approved
458,275,4250.53,GBP,2024-04-11,Approved
117,69,288.39,INR,2024-10-25,Reversed
283,232,3960.67,GBP,2024-07-01,Reversed
255,475,1522.71,EUR,2024-06-13,Pending
373,427,2751.7,JPY,2024-03-14,Approved
118,443,3071.79,INR,2024-11-11,Approved
359,395,87.54,JPY,2024-03-16,Approved
152,446,3301.48,EUR,2024-11-08,Approved
433,90,4206.88,EUR,2024-10-19,Declined
326,325,4917.63,EUR,2024-03-12,Pending
165,358,3766.08,GBP,2024-05-20,Declined
266,107,4671.53,EUR,2024-06-25,Declined
450,179,2244.39,USD,2025-01-11,Reversed
136,283,1569.55,INR,2024-10-23,Pending
281,352,452.66,JPY,2024-03-26,Declined
313,475,539.05,INR,2024-07-08,Approved
238,427,499.18,JPY,2025-01-18,Pending
468,441,3148.09,USD,2024-07-02,Approved
6,496,737.96,INR,2024-09-18,Approved
283,176,3248.84,EUR,2024-05-21,Reversed
402,203,2079.46,GBP,2025-02-08,Reversed
482,490,2657.55,JPY,2024-03-01,Reversed
18,285,3950.1,USD,2024-03-03,Approved
64,318,4686.31,JPY,2025-01-15,Approved
98,350,3714.1,GBP,2024-10-13,Pending
402,281,3173.21,GBP,2024-06-08,Approved
79,94,213.42,EUR,2024-11-24,Approved
412,260,4161.24,EUR,2025-02-09,Reversed
405,443,3197.65,JPY,2024-05-29,Approved
42,426,4777.67,INR,2025-01-14,Declined
130,432,3716.58,USD,2024-03-03,Reversed
308,458,4459.45,EUR,2025-02-18,Reversed
237,201,4094.73,USD,2025-01-29,Pending
342,187,4831.33,JPY,2024-09-02,Approved
475,241,369.21,EUR,2024-11-28,Declined
342,83,1954.68,USD,2024-03-10,Pending
267,26,448.64,EUR,2024-11-30,Approved
235,466,678.77,USD,2024-04-07,Declined
143,76,531.4,GBP,2024-10-02,Reversed
146,278,1747.19,USD,2024-04-13,Pending
156,1,105.67,GBP,2024-11-04,Reversed
276,123,205.71,USD,2024-12-26,Reversed
49,454,2704.74,EUR,2024-07-27,Pending
15,78,2914.12,USD,2024-10-13,Approved
31,383,88.92,INR,2024-07-29,Reversed
226,343,1194.04,EUR,2024-06-16,Reversed
311,215,1018.23,JPY,2024-09-15,Declined
430,85,392.4,INR,2024-09-10,Approved
221,194,2216.42,USD,2024-06-18,Reversed
335,384,3154.18,JPY,2024-11-11,Pending
2,186,2556.25,JPY,2024-10-19,Approved
306,351,3349.93,USD,2024-09-07,Declined
224,456,3083.59,GBP,2024-08-31,Declined
472,361,1538.04,JPY,2024-02-24,Pending
215,298,1833.73,JPY,2024-09-24,Reversed
353,185,4282.13,EUR,2025-01-01,Pending
258,332,3700.1,USD,2024-05-24,Approved
163,216,641.89,USD,2024-11-20,Declined
169,277,3281.14,JPY,2024-09-12,Reversed
191,272,153.19,EUR,2025-01-07,Reversed
174,456,4064.04,JPY,2025-02-10,Declined
223,170,166.55,EUR,2024-05-16,Pending
379,301,733.53,USD,2024-09-04,Pending
452,147,4110.04,GBP,2024-05-12,Pending
325,483,1791.88,JPY,2024-02-20,Reversed
313,348,1544.67,JPY,2025-01-20,Approved
284,64,924.44,EUR,2025-01-13,Declined
47,74,4874.06,JPY,2024-05-20,Pending
128,298,4058.02,INR,2024-10-18,Pending
124,78,4232.45,GBP,2024-10-20,Declined
285,183,1170.5,USD,2024-12-07,Approved
332,112,115.78,GBP,2024-09-19,Approved
472,302,612.38,INR,2024-03-31,Reversed
357,13,4891.04,INR,2024-06-05,Declined
338,183,2258.15,JPY,2025-02-08,Declined
157,206,731.91,INR,2024-09-29,Pending
437,135,2409.47,USD,2024-11-24,Reversed
431,415,4669.59,INR,2024-11-24,Approved
356,386,3194.46,EUR,2024-07-18,Reversed
445,384,2065.76,GBP,2025-01-09,Pending
473,352,2017.25,JPY,2025-01-11,Declined
46,85,1293.48,JPY,2024-03-09,Declined
72,15,3889.52,JPY,2024-08-13,Approved
298,464,1449.63,JPY,2024-06-26,Pending
184,47,18.61,USD,2025-02-04,Declined
187,309,3204.73,INR,2024-12-30,Pending
339,261,1321.17,JPY,2024-06-01,Pending
134,327,2494.17,GBP,2024-11-12,Declined
258,243,4553.17,JPY,2024-05-27,Declined
216,380,1758.25,INR,2024-10-16,Reversed
482,355,2223.73,JPY,2024-02-27,Declined
344,483,1905.88,JPY,2024-06-08,Pending
476,156,613.02,JPY,2024-11-03,Reversed
411,172,3684.99,JPY,2024-04-23,Pending
366,219,1705.61,INR,2024-07-18,Pending
213,465,2076.86,USD,2024-10-26,Declined
7,205,3448.97,JPY,2024-08-06,Approved
36,95,2985.48,GBP,2024-05-02,Reversed
160,87,3177.59,EUR,2024-11-18,Pending
153,344,3915.1,EUR,2024-09-28,Approved
197,207,4824.05,EUR,2024-03-01,Pending
210,180,454.97,JPY,2024-02-27,Declined
391,107,650.3,INR,2024-04-22,Approved
74,123,1620.75,EUR,2025-01-20,Pending
321,86,140.95,INR,2024-05-01,Declined
182,111,4355.28,JPY,2024-11-11,Pending
456,27,2588.55,INR,2024-03-08,Approved
54,242,1539.91,JPY,2024-05-05,Declined
496,234,1112.74,USD,2024-12-11,Pending
274,491,4314.71,USD,2024-04-27,Approved
81,483,1360.86,INR,2024-05-08,Approved
95,473,3678.34,INR,2024-05-08,Pending
354,41,3744.44,INR,2024-03-29,Pending
297,16,4089.46,USD,2024-11-26,Reversed
280,209,431.22,JPY,2024-10-21,Approved
461,300,2961.46,INR,2024-09-14,Declined
97,472,1338.14,GBP,2024-12-16,Declined
467,180,1938.33,USD,2025-02-07,Approved
131,398,1728.8,INR,2024-04-20,Reversed
55,476,1316.32,EUR,2024-10-17,Declined
5,178,1491.05,GBP,2024-03-09,Declined
86,289,4256.85,EUR,2024-10-17,Approved
132,167,2012.55,EUR,2024-09-19,Declined
94,159,2840.06,GBP,2024-03-07,Pending
