Account_ID,Transaction_Type,Amount,Currency,Date,Status,Reference_No
924,Deposit,3501.29,INR,2025-01-16,Pending,57339b97-00e
744,Withdrawal,-4745.85,EUR,2023-12-17,Failed,057edd85-ebe
295,Withdrawal,-2149.26,INR,2023-11-24,Failed,b2d2d806-7de
756,Transfer,3694.83,GBP,2023-07-10,Pending,e8dc3c07-2c2
470,Deposit,2324.47,USD,2023-12-05,Failed,c2eba483-528
692,Transfer,3547.42,INR,2023-08-18,Pending,eef71616-840
265,Payment,-4000.56,USD,2023-12-17,Completed,00a59e1f-bd8
688,Payment,-702.65,USD,2023-02-28,Completed,14b646bb-900
903,Transfer,3988.15,INR,2024-11-25,Completed,f5ecaa23-3b5
280,Transfer,4273.92,USD,2023-10-22,Failed,310e93b9-9ba
379,Transfer,1651.14,INR,2023-05-16,Pending,1bc7c91a-c9f
956,Transfer,383.07,EUR,2024-12-08,Completed,acc8fcf9-d5a
698,Payment,-3227.65,GBP,2023-12-29,Pending,0929d4c0-a9c
778,Deposit,2472.88,GBP,2023-03-28,Completed,afb404a9-94e
680,Withdrawal,-1626.36,EUR,2024-06-14,Pending,e2db67bd-dc6
915,Payment,-1375.25,GBP,2023-09-24,Pending,a738e005-4ff
610,Transfer,1877.79,GBP,2023-10-30,Failed,bfab7141-459
700,Deposit,1794.81,EUR,2023-08-13,Failed,ea806596-1ac
949,Deposit,2212.46,INR,2024-04-30,Pending,8af1ef1b-d1d
498,Deposit,2551.89,EUR,2024-02-28,Pending,6b0bb010-815
655,Withdrawal,-1063.64,INR,2023-12-31,Failed,a5de0afc-d53
465,Withdrawal,-2256.05,EUR,2024-07-23,Pending,35f82493-d2b
561,Deposit,2808.27,GBP,2024-09-10,Completed,5d7acbe8-8a0
606,Deposit,2025.91,EUR,2024-07-22,Completed,c8ab831d-b7b
863,Deposit,3408.22,USD,2023-08-07,Completed,5c0d71bd-2f4
952,Payment,-141.69,USD,2023-04-12,Completed,12ad814f-80e
461,Payment,-2047.79,GBP,2024-06-01,Completed,66553a51-8b4
275,Transfer,3623.32,USD,2023-09-04,Pending,e52c499f-57f
548,Transfer,1131.73,USD,2025-01-06,Failed,ea2d46f4-83f
673,Transfer,3246.94,GBP,2024-06-06,Failed,122d0265-7ae
474,Deposit,3646.74,INR,2023-05-13,Completed,259cbca3-89f
721,Transfer,4859.65,USD,2023-10-16,Pending,8debbc1d-239
694,Deposit,3389.29,USD,2024-07-06,Failed,db8a206f-e68
226,Withdrawal,-4266.94,GBP,2024-01-24,Pending,7e2552ba-5e6
247,Withdrawal,-1386.83,INR,2024-11-27,Pending,d83bb80e-d33
491,Payment,-498.2,GBP,2023-10-01,Failed,3b74aae9-d8d
333,Withdrawal,-203.07,USD,2024-12-09,Failed,ec2157ff-bc5
229,Transfer,1155.7,USD,2024-09-02,Completed,caf1e628-619
675,Payment,-342.45,GBP,2024-07-07,Pending,108e8147-5a9
848,Deposit,124.27,USD,2024-12-25,Failed,c22d3a21-689
463,Payment,-215.54,USD,2024-06-27,Pending,3631385f-fde
823,Withdrawal,-4587.23,USD,2024-04-28,Pending,7b59cc8d-fd4
585,Payment,-1157.29,USD,2024-04-11,Failed,0c431083-dc4
682,Transfer,2495.09,GBP,2024-10-01,Failed,c7a65c5e-8b9
710,Withdrawal,-651.55,EUR,2023-11-22,Completed,68796283-200
634,Transfer,4525.37,EUR,2024-12-09,Failed,bf3af986-c47
970,Transfer,4107.03,EUR,2024-06-15,Completed,65bc7e18-5b2
675,Withdrawal,-2693.91,INR,2023-12-30,Failed,0cb4b772-618
988,Deposit,4805.42,USD,2024-12-03,Completed,dcbb73bc-103
330,Deposit,1865.25,GBP,2024-03-09,Pending,448e8052-21b
681,Withdrawal,-1993.43,EUR,2023-03-01,Pending,f25a17cb-2fb
328,Payment,-1786.08,EUR,2024-08-22,Failed,57c30046-c72
934,Payment,-1551.15,USD,2024-07-09,Failed,f143708a-20a
843,Transfer,1238.11,GBP,2025-02-04,Failed,99d20d5c-9a5
661,Transfer,195.86,EUR,2024-11-16,Completed,a26515a5-f23
936,Transfer,2835.09,USD,2023-10-27,Failed,c0752fd4-1e4
412,Transfer,251.94,USD,2024-12-16,Completed,5a306699-0bd
553,Payment,-2542.86,USD,2023-08-07,Pending,ba7c0b40-194
707,Payment,-3521.15,EUR,2025-01-24,Failed,32c93c33-c80
477,Deposit,1352.98,INR,2024-09-03,Completed,f4600520-e58
974,Deposit,4018.85,INR,2023-09-05,Failed,be42a9b9-d87
932,Payment,-2204.28,INR,2024-03-21,Completed,5096483b-e67
361,Transfer,4967.5,USD,2023-03-03,Failed,1517a535-160
695,Transfer,1765.06,EUR,2024-10-28,Completed,281f1f9d-198
422,Transfer,2870.29,USD,2024-01-20,Pending,95c3afa4-661
856,Deposit,3472.39,EUR,2023-10-11,Pending,37a50e66-6c8
324,Deposit,654.8,GBP,2023-11-19,Pending,eff337e2-741
308,Withdrawal,-1549.12,INR,2023-07-31,Failed,d760a4a6-7d2
347,Deposit,2226.52,USD,2024-07-27,Completed,10903e04-035
623,Withdrawal,-369.37,INR,2023-10-07,Failed,8259574c-7b3
591,Transfer,3080.0,USD,2023-07-23,Failed,d92b8c82-783
968,Payment,-1393.42,EUR,2024-12-11,Failed,b6b32efb-4df
752,Payment,-523.76,INR,2024-05-28,Completed,509e48fd-4c6
418,Deposit,609.65,GBP,2024-11-10,Completed,221b3ed0-cb3
243,Withdrawal,-4666.93,GBP,2023-11-05,Completed,ea2646dc-653
851,Payment,-2120.2,USD,2023-03-11,Pending,b1633268-eea
295,Deposit,2005.26,INR,2024-06-27,Failed,9370d6fe-49a
394,Payment,-1801.79,INR,2023-03-28,Pending,4f8df051-8b1
947,Withdrawal,-3624.02,INR,2025-01-28,Pending,dbc343af-ff7
641,Withdrawal,-1926.99,EUR,2024-03-26,Pending,d7764ccd-8ca
715,Payment,-2462.17,INR,2025-02-12,Pending,09193fe1-05e
619,Deposit,412.15,GBP,2024-07-05,Pending,a3a7d1af-367
876,Withdrawal,-4431.31,USD,2024-10-26,Pending,b199d948-3aa
946,Transfer,4371.91,GBP,2023-08-14,Failed,e7ce80f8-fb1
866,Withdrawal,-4408.57,INR,2025-01-16,Completed,60456b2d-9d9
469,Deposit,4506.32,INR,2024-09-17,Pending,4625bb96-873
300,Deposit,2507.3,USD,2023-06-19,Failed,ae0db444-0bb
968,Payment,-4031.39,GBP,2023-12-11,Pending,a23ce932-3c4
609,Transfer,3317.7,EUR,2024-03-17,Pending,d021adf7-098
698,Withdrawal,-3583.34,GBP,2024-05-31,Pending,5da84e76-6e7
848,Deposit,2075.71,INR,2023-05-29,Failed,3f1e4291-335
445,Withdrawal,-3172.86,EUR,2023-04-06,Pending,e53fcc81-2a3
319,Transfer,2958.46,INR,2024-11-12,Completed,4000db8d-5fc
363,Deposit,1083.42,USD,2024-05-22,Pending,a8878b7a-951
711,Payment,-2983.77,USD,2024-05-11,Completed,6b7739f9-671
559,Withdrawal,-2813.64,GBP,2024-01-29,Pending,2d0ae2a9-a3c
807,Payment,-583.67,USD,2024-10-21,Completed,147cc5e7-cb7
235,Withdrawal,-1107.56,GBP,2023-07-16,Failed,9659d16a-5fa
849,Payment,-2613.46,USD,2024-07-09,Completed,72f34f66-1fd
990,Deposit,4264.77,GBP,2024-01-04,Failed,428d2577-006
601,Transfer,3306.73,EUR,2024-06-21,Pending,84ff4b89-30c
822,Payment,-4394.51,USD,2024-10-17,Failed,545f2cb4-570
595,Transfer,3578.36,USD,2024-12-15,Failed,85a22ffe-f29
956,Withdrawal,-4760.17,EUR,2024-03-28,Failed,d9d240f7-9a4
252,Withdrawal,-1934.66,USD,2025-02-17,Failed,5ae27e38-6bd
656,Deposit,3758.04,INR,2024-04-19,Pending,1232598d-242
656,Payment,-4404.04,USD,2023-09-17,Failed,fdef3699-35a
461,Deposit,4503.47,GBP,2023-11-12,Pending,56ffdedf-9b6
387,Transfer,851.33,INR,2023-05-18,Completed,5c3196a7-8ac
604,Withdrawal,-1965.88,EUR,2024-03-12,Pending,fe9572d3-81a
852,Withdrawal,-2711.83,INR,2025-02-15,Pending,6f857615-3b9
990,Deposit,3092.06,INR,2023-05-22,Pending,d12444f5-6cd
813,Payment,-3403.72,USD,2024-02-01,Completed,7773f8ac-324
306,Withdrawal,-1567.75,EUR,2023-12-18,Completed,8f136073-511
915,Withdrawal,-4535.36,EUR,2023-10-04,Completed,5eb4234c-110
990,Payment,-3400.56,USD,2023-06-21,Pending,55190ce5-1f0
651,Transfer,4721.32,GBP,2024-04-25,Completed,94bbfc2e-f49
725,Deposit,3727.36,USD,2023-05-02,Completed,603819b2-49e
717,Withdrawal,-1358.88,USD,2024-12-21,Failed,7f7fb9d1-f99
563,Withdrawal,-202.05,USD,2024-02-19,Completed,382928d9-b55
818,Payment,-107.05,EUR,2023-03-18,Pending,adcb38f1-7d7
307,Payment,-2146.88,USD,2024-07-07,Failed,fd125132-16e
221,Withdrawal,-1318.97,GBP,2023-03-06,Completed,9f583d3d-6e4
276,Transfer,2701.97,INR,2023-12-26,Pending,540cc376-c60
389,Transfer,1803.51,INR,2024-04-23,Failed,26e935f4-9ac
269,Payment,-866.27,EUR,2023-11-05,Failed,e37aa140-6e8
609,Withdrawal,-1805.85,INR,2023-04-30,Failed,a6c7deba-1ba
480,Payment,-3807.62,EUR,2024-06-27,Failed,76f56036-48c
773,Transfer,4112.69,GBP,2025-01-07,Failed,ede7560d-103
578,Deposit,3523.45,USD,2023-09-03,Failed,ec0703e2-f68
539,Deposit,1310.66,USD,2023-12-08,Failed,6f3e3b69-5c8
416,Deposit,1061.14,EUR,2024-03-25,Failed,d95091b0-557
622,Transfer,1092.8,INR,2023-07-04,Pending,5d41c505-ba8
614,Withdrawal,-1744.32,USD,2023-06-04,Failed,3356a303-df2
955,Payment,-3185.69,INR,2024-12-24,Pending,135cc0aa-6e5
957,Withdrawal,-1997.95,EUR,2023-05-03,Completed,d5c909d7-d20
930,Transfer,4463.47,GBP,2024-04-02,Completed,ab75b963-c06
817,Payment,-4719.77,EUR,2024-09-07,Pending,1904e1d8-265
523,Deposit,3290.09,INR,2025-01-28,Pending,d2d00964-1f2
656,Transfer,802.56,INR,2023-11-12,Completed,029b41de-900
369,Deposit,3989.71,EUR,2023-10-22,Failed,db75acc1-35d
590,Payment,-2709.84,EUR,2024-11-06,Failed,a2455156-fd9
770,Transfer,4257.38,GBP,2024-10-30,Pending,1a456365-80d
474,Payment,-196.61,GBP,2025-01-30,Pending,d6797f4f-3dc
380,Payment,-2966.42,GBP,2023-03-11,Failed,eb63075f-fd6
820,Payment,-2149.24,EUR,2023-10-11,Pending,be6c8549-4ad
397,Deposit,236.31,USD,2023-09-22,Completed,210d141f-712
296,Transfer,4728.06,USD,2023-06-19,Pending,36ab4b36-168
871,Transfer,4789.05,USD,2023-05-07,Completed,bee89c80-bbf
988,Withdrawal,-1284.39,USD,2023-05-26,Pending,c7a23259-7cd
941,Withdrawal,-4016.6,USD,2023-08-28,Failed,9c92a7d6-601
997,Payment,-3017.2,USD,2024-03-10,Completed,06fd411a-7db
413,Deposit,542.52,INR,2024-08-13,Pending,f68fb850-dd1
397,Deposit,3179.81,USD,2023-11-09,Pending,534f9972-855
985,Deposit,773.16,INR,2024-08-14,Completed,bd13ab4b-385
672,Payment,-4305.76,GBP,2023-02-24,Pending,a0bb0f2f-10a
691,Deposit,3795.65,USD,2023-11-11,Completed,4f8ae115-875
812,Transfer,2649.46,USD,2024-01-26,Pending,d8154960-07a
282,Payment,-4537.96,GBP,2023-11-27,Pending,50487f2b-e56
516,Payment,-2899.55,EUR,2023-12-11,Failed,9570ad55-33b
459,Payment,-3987.01,USD,2023-10-10,Completed,aa8824c1-efb
540,Withdrawal,-2948.56,INR,2023-08-13,Completed,66a6426b-3c9
794,Withdrawal,-4924.43,EUR,2024-01-10,Pending,c1e723b8-708
326,Deposit,16.6,INR,2024-02-04,Failed,f86bbe4c-30a
242,Payment,-3278.37,USD,2023-09-20,Failed,f83da06b-d89
444,Transfer,3351.85,EUR,2024-07-19,Failed,c5fc296a-326
455,Withdrawal,-2258.47,INR,2023-07-31,Failed,5f43c75a-57b
469,Withdrawal,-4439.1,GBP,2023-03-03,Failed,b98d354b-9e5
379,Payment,-992.87,GBP,2023-09-21,Pending,d16bc05c-633
800,Deposit,1820.5,INR,2023-02-21,Completed,d4f93c99-3b5
687,Payment,-2039.72,INR,2024-08-30,Completed,1a21fcb8-752
833,Withdrawal,-130.75,INR,2025-01-22,Pending,2d94c2dd-83c
613,Transfer,4001.45,EUR,2023-07-19,Failed,ba0dfbc4-47b
812,Deposit,843.92,INR,2023-09-08,Failed,3296bccf-d7a
925,Deposit,4157.98,GBP,2024-08-29,Completed,00395351-0b8
718,Withdrawal,-2357.67,INR,2023-08-15,Completed,beeefc28-7a5
626,Payment,-3764.46,USD,2025-01-23,Completed,103d55fe-ae1
491,Withdrawal,-1520.21,USD,2024-11-21,Failed,5ed84727-d40
267,Withdrawal,-742.86,USD,2024-01-10,Completed,e878e2e4-387
264,Transfer,1972.3,EUR,2024-07-18,Pending,17e521fd-df0
909,Payment,-13.41,GBP,2024-04-03,Pending,bf9d7598-606
884,Payment,-2459.73,EUR,2024-03-05,Pending,dcf04b3a-869
906,Payment,-3949.23,USD,2024-12-26,Failed,382312cf-3f4
389,Withdrawal,-81.82,GBP,2023-02-25,Failed,1e7f57a3-42a
632,Deposit,3178.02,GBP,2023-09-30,Failed,8e0ee0f1-d9c
553,Deposit,1693.25,GBP,2024-04-21,Completed,415f535a-251
652,Transfer,1371.16,EUR,2024-03-15,Failed,3780a761-676
536,Payment,-326.87,USD,2023-08-08,Failed,c2a52c96-aca
975,Payment,-2129.41,INR,2023-12-14,Completed,f6c79fc6-5fd
474,Deposit,1384.02,INR,2023-09-25,Pending,dda14ad9-f87
707,Transfer,4370.29,EUR,2024-04-05,Pending,c264a6f3-7e0
354,Deposit,1031.89,GBP,2023-07-30,Pending,5afae83c-87d
337,Deposit,822.07,INR,2023-09-16,Pending,76f6f557-86f
277,Deposit,3904.95,INR,2023-06-17,Failed,76786e79-323
540,Deposit,2544.42,EUR,2024-06-18,Completed,a81803b7-89e
859,Deposit,3659.53,INR,2024-04-28,Pending,3f0c5dbc-cc0
249,Payment,-1550.61,EUR,2023-05-08,Failed,7567e0a6-592
742,Payment,-234.3,INR,2023-10-07,Completed,cf622959-694
475,Transfer,1065.55,INR,2023-04-13,Failed,4d52f8d2-dc3
756,Withdrawal,-4603.71,INR,2024-02-17,Pending,d00d8ebe-a83
606,Deposit,2835.39,INR,2023-11-27,Failed,8e2290d2-fa1
677,Deposit,4118.01,USD,2023-11-16,Failed,24dc9dc1-715
474,Deposit,1455.47,EUR,2023-12-18,Pending,48b2463f-0a6
854,Transfer,4335.38,USD,2024-08-21,Pending,16812195-799
474,Payment,-1015.39,GBP,2025-02-04,Pending,ebae7c12-343
336,Payment,-926.57,GBP,2025-02-10,Pending,e2d01ffe-757
688,Deposit,4714.04,EUR,2024-11-08,Pending,fd6ca60c-3c1
469,Payment,-226.92,EUR,2023-07-13,Pending,c3b755d9-63f
469,Deposit,4358.7,EUR,2025-02-05,Failed,06bbbb46-866
513,Transfer,3219.28,USD,2024-02-10,Failed,3e2cfa1c-92f
318,Deposit,1439.73,INR,2024-01-24,Pending,a813cc76-49b
455,Transfer,4121.22,EUR,2024-06-13,Pending,be4f83b4-aa0
265,Transfer,4687.33,GBP,2024-05-04,Completed,e1ecc048-a92
274,Transfer,4856.53,EUR,2024-08-23,Completed,a9a4ef3c-f9a
874,Deposit,1696.46,EUR,2023-07-13,Completed,8e237592-668
915,Withdrawal,-89.84,INR,2024-11-13,Failed,0b9e46e8-5f5
638,Deposit,1230.89,INR,2024-06-18,Completed,fabfa434-9cd
228,Withdrawal,-4954.04,EUR,2024-11-16,Pending,484e54d9-7cc
640,Withdrawal,-1657.76,EUR,2024-02-12,Failed,9910374e-f16
846,Withdrawal,-4729.91,INR,2024-03-25,Pending,dc352c25-591
752,Transfer,4888.48,USD,2023-07-23,Completed,dcf25de3-6e3
225,Payment,-4007.34,USD,2023-05-08,Completed,414cc2ba-848
670,Transfer,177.02,USD,2023-11-23,Completed,6440b3b4-40e
392,Payment,-430.83,USD,2023-09-17,Pending,81d2b8da-50b
324,Withdrawal,-3084.45,INR,2024-07-31,Completed,27849a92-99e
995,Transfer,2697.12,USD,2023-03-10,Completed,ff6a93fd-295
865,Deposit,3269.3,EUR,2024-06-10,Pending,1acb5787-c03
648,Transfer,3225.18,EUR,2024-11-26,Completed,3ca5beca-762
948,Deposit,4492.62,USD,2023-04-24,Pending,54f17db9-370
963,Transfer,1122.7,GBP,2023-07-19,Failed,3c027764-859
535,Deposit,4874.58,INR,2024-10-20,Failed,8f646ee9-5e8
232,Withdrawal,-443.34,EUR,2023-12-19,Pending,feb26f05-87f
990,Transfer,1534.74,INR,2024-07-21,Failed,94ab95e0-5fc
752,Deposit,1995.4,USD,2023-07-02,Completed,a47796eb-d53
400,Deposit,2907.09,GBP,2024-02-15,Failed,e2b8e3a7-7c3
766,Payment,-286.1,USD,2024-08-25,Failed,4de79240-575
831,Payment,-1331.52,GBP,2024-06-28,Pending,2c5031f1-589
832,Transfer,255.28,INR,2023-11-04,Completed,a81deafb-253
480,Deposit,1828.19,GBP,2024-06-08,Completed,49e001d1-739
564,Withdrawal,-1075.33,GBP,2024-02-23,Failed,38642be3-3e1
564,Transfer,1908.35,GBP,2024-01-09,Failed,7caa33de-e06
626,Payment,-2421.77,EUR,2023-12-22,Completed,64c7825a-264
434,Deposit,4692.04,INR,2023-09-28,Completed,3d6d089b-8ef
700,Deposit,4063.36,GBP,2023-09-15,Completed,2af73dc7-986
862,Deposit,3148.67,USD,2024-05-19,Completed,43fe9c5b-1f7
680,Deposit,1714.8,EUR,2023-03-13,Failed,ced2b787-61b
1,Withdrawal,-2193.65,GBP,2023-11-12,Pending,96d89d18-615
866,Withdrawal,-1058.75,INR,2024-02-24,Pending,3692aa18-86e
261,Transfer,645.76,EUR,2024-10-07,Completed,8a938a6d-5ba
282,Withdrawal,-517.08,GBP,2023-09-17,Failed,7a0f6a1e-689
849,Payment,-1387.03,INR,2023-06-01,Completed,855edd08-c15
404,Transfer,4395.49,INR,2023-08-05,Completed,0c815995-c03
759,Withdrawal,-4979.33,EUR,2023-07-13,Completed,e9735169-9db
708,Payment,-4389.3,EUR,2024-03-22,Pending,c065c12c-9a9
971,Payment,-3777.11,EUR,2025-02-10,Failed,e66490c3-252
638,Transfer,2382.35,GBP,2023-05-23,Failed,c668fad5-aa1
955,Transfer,1289.98,GBP,2023-06-12,Completed,9b7909a9-b77
650,Transfer,4537.49,EUR,2024-09-30,Pending,a79faa25-cf3
650,Transfer,4888.82,EUR,2025-01-21,Failed,050b3fdc-977
737,Deposit,2556.99,EUR,2023-12-04,Pending,ad4cf793-27d
370,Withdrawal,-3136.09,USD,2023-06-16,Failed,6e665397-5bf
789,Transfer,556.18,GBP,2024-06-30,Failed,856af963-8c6
548,Withdrawal,-3255.8,GBP,2024-11-25,Pending,600d9d59-ebb
887,Payment,-966.01,GBP,2023-07-21,Completed,8b8dc28c-f0f
712,Transfer,1295.0,INR,2023-05-16,Pending,e1d678d3-247
458,Transfer,4900.51,GBP,2023-04-04,Completed,6c01a68c-1b0
767,Payment,-1844.44,INR,2023-07-27,Failed,e6d568f8-a4d
614,Transfer,2188.21,GBP,2025-02-16,Completed,2d65ac00-c3d
440,Deposit,3485.68,USD,2024-09-02,Pending,ee9330d0-37f
681,Deposit,441.36,USD,2024-12-15,Pending,7c45bca2-cf2
903,Payment,-3539.03,INR,2023-12-10,Failed,5dd292af-d23
903,Payment,-1459.2,GBP,2024-09-18,Completed,6b6605b2-a01
610,Deposit,2355.15,INR,2024-01-30,Pending,e9eb253a-ab9
400,Withdrawal,-2597.42,GBP,2024-03-22,Failed,ad081bf0-32f
804,Payment,-726.94,INR,2023-10-30,Pending,b419aebb-546
463,Withdrawal,-622.16,GBP,2023-11-12,Completed,d34953a0-c10
742,Transfer,4773.28,USD,2024-07-03,Completed,1fda8e5f-210
960,Withdrawal,-1307.77,EUR,2025-01-08,Pending,4c79fef6-fc9
233,Transfer,3387.23,GBP,2024-06-04,Pending,62d6385b-37a
934,Transfer,210.84,EUR,2023-10-27,Pending,fa5d2e39-e73
499,Withdrawal,-3468.78,EUR,2024-05-06,Failed,0f8aaa0b-1a2
286,Payment,-3764.02,GBP,2024-11-25,Pending,69b21f8b-740
416,Payment,-280.5,EUR,2023-08-08,Completed,cd815642-91c
267,Payment,-3078.98,GBP,2024-10-25,Completed,7d2abe92-7b0
657,Transfer,3493.71,GBP,2023-03-26,Failed,ea1042bd-497
385,Withdrawal,-2122.75,GBP,2024-03-29,Completed,dbdccb81-063
472,Payment,-3935.56,EUR,2024-06-29,Failed,504866ac-ef5
615,Withdrawal,-1576.56,USD,2024-08-22,Completed,9330cbb4-627
241,Transfer,2823.38,USD,2024-07-20,Failed,eab2e6f7-5d4
718,Transfer,4333.18,USD,2024-05-22,Completed,511815db-917
882,Deposit,1342.03,INR,2023-08-06,Completed,ffb772ce-dc9
224,Payment,-1788.83,INR,2024-04-22,Failed,2c55ef4e-950
910,Payment,-623.6,EUR,2025-01-19,Pending,fb9df1e9-b20
258,Transfer,4189.99,USD,2024-04-06,Pending,408d633f-a8d
494,Transfer,4356.16,GBP,2023-02-22,Failed,98668b6b-a2b
372,Deposit,607.78,EUR,2023-07-20,Completed,b516800a-374
667,Deposit,3582.13,USD,2024-07-23,Failed,4a74e9c5-d05
480,Payment,-2750.61,EUR,2023-12-11,Failed,0b1c4354-623
496,Transfer,4587.43,EUR,2024-01-16,Completed,ddd50220-aa8
953,Payment,-386.95,INR,2023-10-02,Failed,725fc439-93d
389,Payment,-994.31,INR,2024-10-05,Pending,c67815cc-f9f
428,Withdrawal,-540.58,INR,2024-06-13,Pending,87ef8ca4-4e2
700,Transfer,242.92,INR,2023-12-13,Pending,ddb0fbf1-797
605,Transfer,450.82,INR,2024-07-27,Completed,d590b86c-c6e
282,Deposit,4322.84,GBP,2024-10-06,Completed,72dae26d-4db
299,Deposit,1714.51,USD,2023-03-10,Failed,7cb3a5db-305
897,Deposit,1325.14,USD,2023-09-25,Completed,5cd82247-eba
310,Payment,-1154.01,INR,2024-03-14,Failed,4cd0eacd-556
444,Deposit,1848.96,GBP,2023-03-30,Completed,9abfdfbf-58a
907,Deposit,557.27,USD,2023-04-26,Pending,43672e19-e1e
681,Deposit,1837.83,INR,2023-11-20,Completed,bb5e1b9e-278
396,Withdrawal,-282.91,INR,2023-10-17,Completed,2493baf8-345
604,Deposit,1641.99,USD,2024-02-19,Failed,f9b73f62-32b
689,Transfer,1825.2,INR,2024-06-26,Completed,b6892411-2b7
989,Withdrawal,-4393.88,INR,2024-10-17,Failed,f690c209-e17
297,Payment,-2332.61,INR,2024-11-19,Failed,23d30daa-974
886,Transfer,2636.55,EUR,2023-07-01,Completed,54ec168f-d92
734,Transfer,4392.46,INR,2024-11-06,Pending,f2dd5e65-173
641,Transfer,2005.73,EUR,2024-11-26,Failed,edfb170c-e74
383,Withdrawal,-422.32,GBP,2024-08-21,Pending,6520c9fe-b0e
818,Transfer,95.51,EUR,2023-05-08,Completed,65c9d9a3-081
496,Withdrawal,-2839.73,USD,2025-02-12,Pending,9fed4e65-629
411,Transfer,4053.43,EUR,2024-04-20,Failed,520cbe6e-6fc
948,Transfer,2714.9,INR,2023-08-23,Pending,eb02c9b3-9d1
413,Withdrawal,-4628.85,USD,2023-05-06,Completed,ebddd267-d19
658,Transfer,1439.11,GBP,2024-11-12,Failed,c50dd983-aa0
416,Payment,-1547.97,EUR,2023-06-29,Completed,de5c8130-69b
932,Payment,-4725.9,EUR,2024-01-25,Failed,2823c536-478
474,Transfer,1206.63,USD,2024-04-01,Failed,ad1fe57a-ee7
975,Transfer,123.39,EUR,2023-07-13,Pending,1949b188-352
476,Transfer,1504.88,GBP,2023-06-01,Pending,92362ae2-f63
874,Payment,-3664.77,GBP,2024-12-30,Pending,bf848a1a-a6c
413,Transfer,4325.81,GBP,2024-02-12,Failed,966b347e-990
396,Deposit,1850.53,USD,2025-01-05,Failed,067a0aee-02d
790,Payment,-2620.41,GBP,2025-01-02,Pending,1f7d51f3-42e
505,Payment,-262.24,EUR,2025-01-05,Pending,59603757-6c2
815,Deposit,1751.0,INR,2024-04-25,Pending,b7a553fd-abc
501,Deposit,2734.11,USD,2025-01-20,Completed,67681bf3-1b3
804,Transfer,2292.49,GBP,2023-05-20,Completed,719aed5f-e5f
255,Deposit,3150.25,INR,2023-07-03,Pending,d96763c3-689
800,Payment,-2432.91,INR,2024-02-26,Failed,df1d41fb-f17
301,Withdrawal,-149.71,GBP,2024-01-30,Completed,28760be4-16d
998,Payment,-27.0,GBP,2025-01-24,Completed,3d9448b3-54e
764,Deposit,848.32,INR,2023-05-26,Failed,2873190b-b38
