Customer_ID,Credit_Score,Updated_At
224,456,2024-06-29
865,825,2024-03-29
866,480,2024-05-23
581,418,2024-04-23
242,383,2024-08-28
987,346,2024-05-31
277,404,2024-04-01
333,469,2024-08-09
899,582,2024-03-24
888,584,2025-02-16
674,626,2024-05-31
256,586,2024-11-14
909,777,2024-04-23
77,777,2025-02-03
817,633,2024-12-28
391,399,2024-12-05
704,754,2024-08-07
867,754,2024-12-20
471,723,2024-05-02
722,807,2025-01-05
951,329,2024-02-27
625,716,2024-04-24
591,383,2024-10-02
795,438,2025-02-10
730,581,2024-09-27
265,465,2024-08-29
815,497,2024-09-08
655,635,2024-09-01
159,520,2025-01-18
376,484,2024-11-07
627,678,2024-05-08
699,717,2025-01-09
563,452,2024-06-18
95,391,2024-07-24
478,451,2025-01-01
954,619,2024-04-02
792,398,2024-06-01
313,429,2024-12-11
121,554,2025-01-02
114,385,2025-02-16
825,429,2024-05-25
146,637,2024-04-03
341,470,2024-06-05
169,767,2025-01-30
166,847,2024-06-22
331,536,2024-06-21
948,808,2024-09-23
329,699,2024-05-28
847,360,2024-09-19
845,824,2024-07-08
534,835,2024-04-27
400,383,2024-06-12
868,567,2024-03-12
6,412,2024-09-23
263,525,2024-07-15
300,427,2024-03-28
345,347,2025-01-11
624,462,2025-01-29
316,545,2024-05-04
816,618,2024-06-26
1000,358,2024-04-27
161,594,2024-11-02
431,572,2024-05-19
202,509,2024-02-27
227,761,2024-05-29
101,361,2024-04-02
984,316,2025-01-31
135,625,2024-05-06
976,391,2024-09-08
205,747,2024-07-22
39,486,2024-10-17
569,426,2024-05-31
938,438,2025-02-12
275,384,2024-04-10
842,828,2024-08-04
116,590,2024-10-29
457,642,2024-05-20
263,542,2024-10-02
144,331,2024-05-25
358,494,2024-06-14
213,396,2025-01-15
603,658,2024-09-07
349,737,2024-05-30
940,647,2024-09-20
968,424,2024-07-04
955,739,2024-05-31
33,816,2024-09-18
458,406,2024-11-05
814,744,2024-04-12
772,812,2024-09-04
229,765,2024-12-03
558,786,2024-06-15
306,701,2024-06-24
718,382,2024-11-14
598,661,2025-01-27
509,388,2024-02-28
250,410,2024-09-04
65,599,2024-03-25
925,382,2024-08-19
156,532,2024-10-13
644,752,2025-02-03
286,441,2024-06-17
320,436,2024-07-17
595,312,2024-11-22
885,351,2024-02-28
373,748,2024-06-11
993,833,2024-05-07
722,787,2025-02-08
994,337,2024-03-18
710,567,2024-10-10
580,376,2024-11-10
831,632,2024-03-25
15,792,2024-12-25
870,382,2024-12-04
204,396,2024-08-27
759,477,2024-06-12
555,664,2024-04-15
703,763,2025-01-05
279,443,2024-06-24
775,736,2025-01-24
699,357,2024-06-29
369,589,2024-08-02
304,352,2024-10-14
724,487,2024-08-08
669,321,2024-06-26
527,304,2024-11-03
842,679,2024-05-27
151,824,2024-11-17
748,682,2024-05-05
828,717,2024-06-02
747,768,2024-09-29
471,542,2024-12-08
460,324,2024-07-21
892,475,2024-07-31
629,690,2024-03-24
76,763,2024-10-05
263,516,2024-03-02
481,690,2024-11-22
265,328,2024-09-25
519,305,2024-04-28
888,648,2024-09-30
188,472,2024-08-05
102,491,2024-07-12
625,526,2024-02-20
127,617,2024-07-19
865,674,2024-03-06
145,571,2024-08-03
861,771,2024-04-25
57,722,2024-06-24
722,794,2025-02-01
793,653,2024-05-03
628,494,2024-12-10
755,611,2024-11-03
357,522,2024-02-26
122,409,2024-12-27
652,433,2024-07-09
431,480,2024-07-23
479,711,2024-08-07
577,546,2024-07-16
937,495,2024-08-24
337,790,2024-03-14
474,660,2024-04-25
523,734,2024-06-22
546,350,2024-06-30
6,802,2024-07-11
515,451,2024-11-05
750,687,2024-10-20
206,735,2024-10-05
639,729,2024-07-14
396,607,2024-07-22
206,318,2024-11-23
153,566,2024-04-22
613,330,2024-02-26
642,404,2024-08-15
455,324,2025-01-01
711,345,2025-02-10
714,626,2024-04-28
730,406,2024-08-01
228,670,2024-10-10
864,780,2024-07-18
726,735,2024-05-15
240,515,2024-11-28
756,329,2024-06-04
146,382,2024-08-15
248,398,2024-08-06
587,618,2024-11-02
67,658,2024-06-11
26,484,2024-10-26
646,345,2024-11-25
576,423,2024-11-03
291,313,2024-10-23
385,619,2024-03-07
769,636,2024-06-12
934,774,2024-04-07
413,364,2024-06-21
439,769,2024-05-15
643,472,2024-11-02
132,343,2024-08-01
439,828,2024-11-26
485,816,2024-04-28
700,521,2024-02-24
96,695,2024-12-27
867,801,2024-07-09
844,413,2024-12-07
734,480,2024-10-27
163,743,2024-05-12
705,506,2024-12-05
508,527,2024-10-15
956,791,2024-08-11
510,513,2024-03-08
168,318,2024-10-27
13,707,2024-05-23
471,588,2024-05-22
340,803,2025-02-02
706,388,2024-06-08
311,719,2024-07-05
686,730,2024-09-06
536,673,2024-08-24
555,684,2024-03-24
288,491,2024-07-27
990,556,2024-12-06
318,624,2024-07-21
457,533,2024-10-15
751,570,2024-07-05
342,649,2024-08-20
798,597,2025-01-06
598,532,2024-11-13
54,413,2024-09-23
222,467,2024-06-21
584,536,2024-04-21
139,585,2024-11-01
901,473,2024-09-28
351,592,2024-02-28
503,731,2024-09-25
889,463,2024-05-08
298,725,2024-11-08
259,337,2024-11-09
372,544,2024-05-02
413,678,2024-06-18
627,467,2024-05-25
635,598,2024-06-03
483,443,2024-10-11
470,758,2024-07-20
794,347,2024-04-02
438,437,2024-10-04
626,308,2024-10-27
485,642,2025-01-28
930,714,2024-05-12
155,664,2024-04-23
753,345,2024-10-31
394,821,2024-09-21
400,480,2024-06-16
392,577,2024-05-27
239,380,2024-03-08
29,736,2024-08-21
860,732,2024-09-27
443,463,2024-08-19
464,624,2024-04-21
879,624,2024-06-23
668,570,2024-12-28
862,402,2024-03-11
867,686,2024-10-07
177,719,2024-04-26
107,850,2024-11-11
827,310,2024-03-14
121,675,2024-09-21
328,361,2024-03-30
440,705,2025-01-22
879,470,2025-02-06
283,456,2024-09-12
550,503,2024-05-30
780,812,2024-07-09
83,484,2024-05-23
235,625,2024-12-12
274,313,2024-04-07
705,702,2024-06-08
540,570,2024-09-11
72,567,2024-03-23
491,612,2024-09-19
524,459,2024-04-02
619,483,2025-02-04
499,425,2024-07-01
212,602,2024-08-12
538,785,2024-04-02
263,359,2024-06-25
867,308,2024-12-03
193,729,2024-05-18
351,464,2024-07-27
713,778,2024-08-08
100,623,2024-03-02
105,664,2024-05-14
72,416,2024-11-05
445,484,2025-01-30
47,745,2024-06-03
208,681,2024-03-19
850,814,2024-12-22
100,554,2024-12-03
82,515,2024-03-11
381,391,2025-01-30
310,651,2024-04-30
479,804,2024-11-13
502,776,2024-07-16
475,675,2024-09-01
246,620,2024-04-03
326,508,2024-09-27
527,398,2024-08-31
968,448,2024-03-23
474,360,2024-11-07
632,585,2024-09-13
382,539,2024-08-18
637,694,2024-04-21
672,814,2025-01-06
689,808,2024-12-19
473,330,2024-05-31
94,827,2025-01-12
909,587,2024-03-27
402,542,2024-03-27
909,754,2024-06-13
