Loan_ID,Amount_Paid,Payment_Date,Remaining_Balance
270,5833.3,2023-04-18,28332.45
5,3434.8,2025-02-17,31344.95
233,658.99,2024-03-02,46224.78
371,1587.44,2024-05-05,22546.28
493,3539.32,2024-12-30,36782.64
326,2381.05,2023-11-27,21484.86
486,2347.48,2023-12-01,44655.76
236,3178.9,2025-01-14,35081.82
297,2015.06,2022-05-10,17821.33
12,5385.56,2023-03-22,17761.52
348,9165.31,2024-09-02,26813.88
89,5425.64,2024-04-01,18367.21
174,4216.29,2022-05-12,10233.98
169,1518.9,2024-05-24,39600.25
188,2660.26,2022-04-19,11017.07
348,2590.19,2024-09-04,30548.75
268,886.3,2024-09-18,6576.45
52,4905.7,2023-07-06,44053.79
328,4562.65,2023-01-25,14184.37
304,5130.0,2024-12-24,13342.33
423,4667.54,2024-09-29,22952.16
72,3504.33,2022-10-05,33231.92
183,1990.73,2023-12-02,14204.86
485,2728.47,2023-12-11,46581.39
453,125.47,2022-10-16,7820.78
474,4114.12,2024-07-01,10897.17
292,4806.0,2023-06-20,30186.74
22,1984.68,2022-12-15,16111.8
482,1639.61,2024-10-16,24413.98
242,1711.86,2022-12-15,10172.12
368,4574.37,2024-01-02,31983.97
168,2060.62,2023-04-12,21694.29
454,8560.34,2024-04-09,30513.52
323,9156.6,2023-11-18,24812.18
306,2825.39,2023-06-17,10971.33
91,221.54,2023-06-01,5992.51
383,4561.56,2022-07-24,44065.37
165,1315.24,2022-09-11,4741.26
77,7372.23,2022-12-17,40609.39
219,9538.57,2022-10-25,24892.34
493,683.86,2022-07-24,15101.62
454,1991.0,2023-08-11,7272.38
11,9696.17,2023-03-18,31540.43
333,9744.19,2022-11-25,28777.26
496,1660.44,2023-10-01,10092.1
168,4800.46,2024-02-05,19507.67
17,2065.17,2024-01-27,43940.52
132,3804.9,2024-03-21,18355.27
202,361.27,2022-08-08,23556.71
94,1427.86,2022-05-16,22185.35
494,1392.0,2023-01-29,17384.54
294,9212.73,2022-03-13,34894.09
44,6858.24,2023-09-21,34182.22
347,8695.84,2023-09-30,39097.78
30,4975.28,2024-12-09,19537.69
266,5401.35,2023-06-18,21343.55
487,2791.53,2024-11-16,44663.74
203,1660.07,2023-11-27,6028.56
192,2122.43,2023-01-01,5932.7
60,2539.13,2023-02-02,8327.5
117,3228.67,2022-12-24,10879.21
73,1173.61,2024-03-02,17112.96
116,751.69,2023-04-05,37608.54
244,1236.95,2024-10-12,7423.9
214,3949.87,2023-03-01,30056.33
151,271.85,2022-09-24,6161.23
293,1960.48,2024-01-29,20409.03
380,8030.03,2024-03-29,24780.45
380,9191.21,2025-01-02,36308.67
319,407.22,2024-03-08,7474.31
239,3489.74,2024-09-04,17202.98
493,4918.36,2024-05-31,12519.4
84,4634.73,2024-11-12,25312.97
253,814.1,2024-11-16,7846.46
223,3020.12,2024-03-05,32124.74
142,646.34,2025-02-04,35815.91
28,357.38,2023-11-14,17253.05
386,7477.02,2024-12-13,34695.67
412,13329.16,2023-05-29,34410.2
194,1365.04,2023-01-12,9696.74
468,737.84,2023-01-16,7942.28
166,9633.01,2024-07-11,30996.15
274,8568.44,2024-10-08,21399.93
93,606.99,2022-04-28,19095.82
66,7510.16,2022-11-10,34715.78
96,9566.13,2024-07-17,34988.28
311,2389.98,2023-03-10,11667.65
225,350.58,2023-10-11,31529.23
496,329.18,2023-06-22,14121.62
419,7341.05,2022-10-30,41645.15
174,223.33,2024-03-26,40328.2
192,1313.75,2024-11-14,19423.66
16,523.24,2023-08-05,14903.89
33,176.24,2022-10-01,8319.52
365,2797.48,2022-07-20,29607.71
313,7448.3,2024-03-06,39267.33
447,6415.67,2024-08-09,33185.72
238,7863.0,2024-03-08,19842.17
382,6455.18,2024-02-22,35188.18
98,1761.74,2024-08-18,39344.2
362,1559.37,2023-05-01,10898.73
310,7976.25,2024-07-21,21775.27
408,2544.14,2024-04-19,22830.83
217,1800.72,2024-02-27,18876.45
260,449.8,2023-10-30,12434.81
217,1977.54,2025-02-04,5995.57
47,1956.19,2022-07-06,19933.36
262,3190.35,2023-02-19,19378.78
300,2214.37,2023-05-24,30854.21
91,5437.73,2022-05-30,33071.42
185,2817.62,2024-09-27,21646.47
474,10516.76,2024-02-25,34448.57
329,7369.22,2025-02-08,18079.74
104,3917.53,2022-08-27,40665.78
28,6705.24,2022-05-06,16265.79
364,6314.26,2023-03-19,24050.16
392,1818.12,2024-11-02,13855.1
240,1447.2,2024-08-23,20740.28
487,5227.2,2024-06-13,29981.22
139,1611.16,2023-10-21,34289.17
37,2345.05,2023-12-08,19674.42
233,12422.93,2022-03-13,31357.02
168,4129.35,2024-09-04,33139.94
118,2846.25,2022-03-25,8179.03
104,1200.53,2023-05-20,15808.93
320,352.77,2022-09-10,11491.68
431,4720.4,2023-10-03,11553.07
332,3048.94,2022-12-01,25921.21
317,6423.06,2023-02-16,23514.25
416,10508.66,2023-04-17,38460.6
26,472.06,2022-12-23,11769.71
3,7560.5,2024-07-07,24804.77
82,9461.95,2024-07-26,23287.41
86,865.06,2025-02-09,13064.01
159,2016.98,2024-08-06,7204.24
161,273.02,2022-09-29,6965.77
311,1032.96,2023-04-30,19181.56
242,4446.73,2024-08-31,15444.81
111,5225.45,2023-06-09,30204.32
283,2620.86,2023-09-02,12349.15
80,1103.92,2022-10-08,8455.57
305,361.73,2024-12-07,32436.66
241,5014.77,2025-01-28,21431.97
303,406.76,2022-07-20,4998.89
143,8289.01,2024-12-29,28472.63
104,971.18,2022-07-01,9361.32
375,5672.09,2023-12-17,22177.69
343,8374.71,2024-04-17,25951.23
28,3147.72,2022-07-08,36548.32
215,3585.71,2024-05-16,10968.22
338,10124.07,2024-04-03,34559.02
310,101.16,2023-03-20,7076.11
345,7432.88,2023-01-10,17344.76
352,3292.74,2023-01-13,11384.11
450,4153.66,2024-03-09,39981.01
33,11963.14,2022-11-27,28649.77
428,10265.04,2022-04-27,37397.84
176,451.98,2024-07-26,13927.63
72,5261.1,2024-11-15,35335.77
399,961.63,2024-02-03,12214.5
309,1474.87,2022-03-26,9513.01
37,776.78,2024-08-29,5686.0
331,2725.8,2025-02-04,43047.14
308,4207.64,2023-10-03,10947.91
144,1500.71,2022-02-24,12565.08
388,2489.27,2022-07-08,44617.87
54,1220.41,2023-02-14,48106.59
273,736.18,2024-06-01,20110.68
470,5664.79,2022-09-22,14015.74
246,9366.5,2024-08-13,21869.79
33,572.85,2022-12-11,33233.87
390,5878.12,2024-02-01,40294.89
372,1381.9,2023-11-20,10458.57
16,4869.81,2024-03-15,29894.78
456,8597.05,2022-11-02,38728.32
292,2277.51,2023-05-26,8336.53
209,11203.97,2022-05-22,35573.71
4,6289.06,2022-08-20,27570.23
263,2055.89,2022-03-16,19800.65
462,1893.28,2022-11-12,36693.23
268,3766.06,2024-12-13,33725.74
136,3652.96,2023-08-16,41194.67
428,3895.25,2024-07-31,14514.44
75,2894.38,2024-10-17,31226.33
294,2338.99,2022-12-12,26588.31
40,7965.91,2022-10-21,30460.31
158,6462.63,2022-07-26,19915.9
283,4694.9,2022-10-08,37350.32
493,4714.75,2025-01-07,21749.2
318,4765.27,2022-04-12,19743.39
198,3516.6,2022-11-29,10282.34
343,5118.44,2024-05-02,15804.64
261,12802.55,2022-04-21,36779.27
126,6025.94,2023-05-05,36044.15
461,13564.54,2024-01-17,35670.75
480,3484.08,2023-09-18,13435.45
268,1967.22,2024-04-13,4657.37
272,2325.72,2022-09-20,21540.29
418,4232.05,2022-08-19,18895.3
48,8473.71,2024-04-17,28468.23
152,1741.86,2023-09-25,40172.42
96,13916.16,2023-06-21,35069.91
174,10879.02,2024-12-23,32977.95
304,525.01,2024-06-27,32261.78
136,920.78,2022-10-30,6576.75
265,1763.5,2023-05-02,18342.2
1,2456.3,2024-08-24,12653.94
356,4960.52,2024-05-09,19175.12
431,3056.77,2023-11-28,31234.73
68,7941.19,2024-10-07,30505.72
5,3277.48,2022-06-02,21595.15
98,1277.5,2023-03-24,8838.0
120,3947.1,2023-07-05,9280.79
5,624.35,2023-11-30,14686.27
13,1766.85,2024-05-26,10286.98
452,8113.02,2022-03-27,41163.46
158,2647.23,2023-11-06,22464.88
326,4341.71,2024-12-11,38005.57
55,6108.74,2024-04-20,30355.94
169,2075.03,2023-08-23,9994.46
278,2819.15,2024-04-30,37375.6
329,8083.34,2023-10-19,39301.3
277,5036.6,2024-04-22,26796.76
476,1844.22,2022-06-11,13208.26
44,4779.23,2022-11-24,17403.17
114,7928.21,2024-02-12,27526.63
199,4272.53,2022-09-15,17497.67
250,3708.98,2022-06-29,9107.32
73,8568.84,2022-12-27,31302.39
455,1220.56,2025-02-10,22272.95
464,8845.61,2022-12-01,34565.73
226,5688.48,2023-04-21,14970.31
204,3364.47,2024-11-28,13804.15
31,137.58,2024-05-28,5404.06
242,3766.6,2023-04-18,12375.52
90,2855.62,2022-04-26,10679.57
91,7550.95,2023-02-27,24191.61
