User_ID,Action_Type,Timestamp
18,Logout,2024-10-26 15:19:09
7,View Statements,2024-09-22 08:03:30
31,Logout,2025-04-21 17:15:13
6,View Statements,2024-06-13 06:03:12
28,Change Password,2025-02-27 09:28:23
31,Change Password,2024-03-05 16:10:52
27,View Statements,2025-07-27 11:42:54
8,Login,2025-09-18 04:27:04
39,Logout,2024-06-12 11:18:17
38,Login,2024-12-10 20:58:17
46,Transfer Funds,2024-06-19 16:25:29
3,Logout,2025-10-23 13:22:11
1,View Statements,2025-10-29 11:12:28
45,Transfer Funds,2025-10-15 19:00:15
15,Transfer Funds,2024-10-27 07:58:02
45,View Statements,2025-04-24 00:54:25
9,Change Password,2024-03-15 11:45:58
31,Login,2025-04-01 01:49:16
29,Balance Check,2025-04-08 22:48:15
26,Login,2025-09-30 22:05:14
29,Logout,2024-07-26 19:08:37
20,Logout,2025-08-01 09:04:54
48,Logout,2025-02-01 08:00:51
13,Transfer Funds,2024-01-06 17:18:36
11,Login,2024-04-20 10:39:45
49,Logout,2024-05-12 08:34:11
6,Login,2025-10-31 07:37:04
17,Logout,2025-10-11 23:10:21
2,View Statements,2024-03-12 07:57:52
48,Login,2025-12-25 14:38:25
25,Balance Check,2025-07-08 23:02:19
9,Transfer Funds,2025-01-14 00:04:55
21,View Statements,2024-02-06 07:33:12
3,Transfer Funds,2024-09-19 14:48:33
5,Balance Check,2025-12-12 22:10:31
3,Transfer Funds,2025-12-28 07:38:09
26,Logout,2025-08-19 06:23:03
14,Login,2024-11-05 01:35:20
29,Transfer Funds,2024-11-03 13:24:27
6,View Statements,2024-06-14 16:26:05
41,Login,2025-07-31 03:22:45
42,Login,2025-05-25 14:47:37
25,View Statements,2025-02-03 08:30:13
50,Logout,2024-11-05 04:41:32
20,Logout,2024-07-30 23:45:20
20,Login,2024-10-09 21:21:02
8,Login,2024-08-30 06:02:18
23,Change Password,2025-01-08 04:28:28
36,Balance Check,2024-02-25 09:06:46
31,Balance Check,2025-11-06 05:09:10
40,Login,2024-03-04 15:11:51
11,Logout,2024-05-15 22:11:20
48,Change Password,2024-10-01 22:50:52
31,Balance Check,2025-10-17 08:13:28
5,Change Password,2025-09-01 11:01:37
31,Transfer Funds,2025-05-05 20:19:47
25,Transfer Funds,2025-09-07 11:36:34
38,Transfer Funds,2025-03-15 08:17:19
22,Balance Check,2025-05-04 11:56:11
15,View Statements,2025-10-25 14:36:31
11,Balance Check,2024-10-23 23:58:07
48,View Statements,2025-08-01 19:02:54
47,Balance Check,2025-08-29 07:57:22
10,Transfer Funds,2025-01-17 04:49:27
32,Logout,2024-11-15 07:55:08
26,Logout,2024-05-24 18:12:23
43,Logout,2024-05-11 03:57:06
35,Login,2025-04-11 01:48:39
44,Change Password,2025-10-10 00:07:13
10,Login,2025-08-27 13:58:27
43,View Statements,2025-10-02 13:19:20
37,Logout,2025-02-06 22:59:57
43,Transfer Funds,2025-11-09 16:04:13
11,View Statements,2024-05-22 13:35:50
17,Transfer Funds,2024-10-05 20:36:37
20,Change Password,2025-08-16 17:34:42
20,Login,2024-03-29 08:37:31
32,Transfer Funds,2025-02-21 06:42:21
41,Login,2025-10-18 08:59:28
3,Login,2024-04-09 06:15:44
14,Balance Check,2024-05-05 14:37:36
39,Logout,2024-04-02 07:25:39
3,Change Password,2025-02-28 09:45:10
13,Login,2025-04-08 06:26:45
25,Logout,2025-04-12 08:06:17
21,Transfer Funds,2024-02-20 20:34:29
9,Login,2025-11-27 16:36:01
36,Login,2025-05-03 03:27:56
9,View Statements,2025-07-18 08:13:14
47,Balance Check,2025-01-12 02:36:35
7,View Statements,2025-08-14 15:29:00
47,Change Password,2024-09-19 23:42:27
15,Change Password,2024-05-07 04:16:13
21,Logout,2025-05-07 16:40:53
39,Change Password,2025-11-07 10:36:03
19,Login,2024-08-17 00:02:06
5,Change Password,2024-09-19 03:07:12
10,View Statements,2025-01-27 10:38:28
38,View Statements,2024-03-17 16:01:47
18,Login,2024-06-30 16:04:34
50,Change Password,2024-06-29 15:34:08
48,Logout,2025-09-19 12:22:23
7,Change Password,2025-07-18 18:59:04
17,Login,2025-06-29 20:01:35
5,View Statements,2024-03-10 20:05:37
39,Login,2025-08-08 02:47:12
41,Change Password,2025-03-16 17:39:25
4,Logout,2025-11-06 16:29:56
3,Change Password,2024-03-09 01:20:16
11,Logout,2025-04-09 03:45:42
37,Change Password,2024-01-15 02:02:46
39,Balance Check,2024-03-21 07:47:08
31,Logout,2025-10-14 23:38:08
43,Transfer Funds,2024-02-12 00:08:29
10,View Statements,2024-01-06 01:16:33
41,View Statements,2024-11-16 16:01:22
16,Transfer Funds,2024-04-17 07:08:06
19,Login,2025-01-24 14:40:55
35,Logout,2025-02-15 00:31:51
42,View Statements,2024-01-13 13:36:02
38,Balance Check,2025-07-31 09:36:00
32,Change Password,2025-06-22 15:47:46
2,Login,2024-08-09 11:23:48
11,Logout,2024-11-07 21:35:23
44,Change Password,2025-01-17 09:08:17
14,Change Password,2024-07-26 09:26:34
46,Logout,2025-12-21 17:41:39
27,View Statements,2024-03-13 12:07:20
18,Balance Check,2025-07-31 21:10:18
20,Balance Check,2024-02-06 14:23:47
4,Login,2025-07-18 13:49:14
26,Transfer Funds,2024-08-30 10:34:08
34,View Statements,2024-03-02 08:28:40
44,Transfer Funds,2025-05-03 09:55:31
47,View Statements,2025-12-23 06:11:45
9,Logout,2025-04-27 00:37:50
11,Change Password,2024-04-01 07:56:20
21,Login,2025-04-28 08:01:05
8,Change Password,2025-06-01 08:55:26
20,Transfer Funds,2024-07-15 16:26:58
33,Balance Check,2025-08-02 12:53:09
47,Logout,2024-12-14 03:44:43
34,Change Password,2024-12-22 06:24:41
38,Change Password,2024-06-21 15:12:47
23,Login,2024-02-08 14:24:51
41,Balance Check,2024-02-10 20:56:01
13,Login,2024-06-02 03:13:49
31,Balance Check,2025-09-20 16:13:33
49,Change Password,2024-11-13 01:41:01
27,Login,2025-09-22 16:47:10
9,Change Password,2024-04-27 19:05:14
48,Balance Check,2025-02-02 12:21:41
48,Balance Check,2024-10-06 04:47:37
50,View Statements,2024-11-03 18:35:48
40,View Statements,2024-12-24 07:46:58
8,Logout,2024-03-24 05:02:52
44,View Statements,2024-09-15 02:31:02
18,Logout,2025-03-07 15:57:08
25,Logout,2024-07-17 12:38:50
7,Balance Check,2025-10-16 18:15:29
14,Change Password,2024-01-22 23:05:06
46,Logout,2025-03-04 21:54:33
38,Change Password,2024-03-16 18:07:08
2,Logout,2025-01-01 05:19:00
36,View Statements,2024-12-26 00:41:10
45,Login,2024-06-12 20:46:22
21,View Statements,2025-11-13 03:20:29
24,Login,2024-11-02 16:47:07
17,View Statements,2025-05-06 18:41:13
39,View Statements,2024-08-17 20:37:39
40,Balance Check,2024-01-23 18:31:22
32,Balance Check,2025-11-16 23:46:50
17,Change Password,2025-02-04 05:49:37
25,Logout,2024-08-16 21:57:19
44,Change Password,2024-10-30 07:23:26
12,Login,2025-10-22 02:10:59
28,Logout,2025-02-13 10:36:34
44,Logout,2024-01-23 07:57:45
39,Change Password,2025-03-23 00:18:40
48,Login,2024-12-27 12:31:49
7,Login,2024-10-11 13:30:44
35,Logout,2025-05-03 07:26:59
43,View Statements,2025-08-30 06:36:15
31,Balance Check,2025-03-02 10:54:26
34,Login,2024-08-29 02:53:33
45,Login,2025-01-21 14:38:11
34,Balance Check,2025-10-21 22:50:14
48,Login,2024-09-29 18:25:34
35,Logout,2024-03-29 11:25:46
15,View Statements,2025-10-09 10:03:07
47,Balance Check,2025-02-28 17:45:51
38,Logout,2024-06-09 01:52:12
23,Transfer Funds,2025-09-10 14:09:40
14,Logout,2024-01-21 16:26:02
14,Login,2025-07-14 13:20:56
47,Transfer Funds,2025-02-14 10:19:00
24,Login,2025-08-17 05:46:33
15,Logout,2025-11-18 19:26:06
13,Change Password,2024-04-27 13:26:36
10,Transfer Funds,2024-03-01 06:22:13
1,Balance Check,2024-04-28 05:16:18
41,Transfer Funds,2024-05-13 07:14:27
1,Balance Check,2024-01-09 12:11:16
20,Login,2025-03-26 23:42:06
9,Change Password,2025-08-05 22:17:52
24,Login,2025-07-09 10:59:13
9,Login,2024-01-03 14:09:07
30,Login,2024-07-04 13:53:33
29,Logout,2024-02-06 03:47:08
8,Transfer Funds,2025-04-28 08:42:28
2,View Statements,2025-12-04 15:53:37
1,Balance Check,2024-09-16 18:27:52
19,Change Password,2024-07-22 13:31:23
3,Change Password,2025-12-22 04:19:05
45,Login,2024-11-29 07:19:45
39,Transfer Funds,2024-10-06 20:49:36
42,Login,2025-12-03 16:41:54
12,Login,2025-10-27 14:44:52
33,Transfer Funds,2025-05-04 15:34:53
4,Logout,2024-08-17 14:46:14
9,Login,2024-02-18 01:05:59
33,Login,2024-07-08 20:42:37
4,Logout,2024-09-07 12:29:58
15,Balance Check,2024-05-06 14:29:38
11,Change Password,2024-05-20 23:08:09
27,Logout,2025-08-12 15:32:22
31,View Statements,2024-11-21 17:49:58
22,Change Password,2024-10-20 05:04:23
46,Balance Check,2024-12-25 09:38:43
3,Change Password,2025-07-30 07:26:07
50,Login,2025-01-02 14:17:30
49,Balance Check,2024-04-28 15:16:40
3,Transfer Funds,2025-06-19 04:45:07
7,Transfer Funds,2025-03-18 10:05:10
8,Login,2024-07-11 08:16:42
31,Balance Check,2025-02-12 01:04:01
38,Balance Check,2025-05-23 10:58:17
43,Balance Check,2024-01-11 01:12:07
18,Login,2025-12-01 18:10:23
42,Logout,2024-05-27 15:19:49
31,Transfer Funds,2024-11-02 15:15:30
17,Logout,2024-05-24 06:49:18
50,Logout,2024-11-03 20:52:22
43,Change Password,2024-06-11 22:35:23
24,View Statements,2025-01-07 11:17:26
2,View Statements,2024-11-22 04:51:16
21,Login,2024-02-03 15:00:53
39,Balance Check,2025-08-16 12:05:35
24,Change Password,2024-09-13 05:20:36
44,Transfer Funds,2024-10-12 01:57:28
32,Login,2024-08-11 18:27:51
45,Transfer Funds,2024-07-20 16:25:17
3,View Statements,2024-07-31 17:21:00
40,Change Password,2024-09-07 21:51:25
39,Balance Check,2025-11-08 22:11:58
22,Transfer Funds,2024-08-18 23:26:05
