Customer_ID,Loan_Type,Amount,Interest_Rate,Start_Date,End_Date,Status
804,Home Loan,207044.88,3.68,2021-02-16,2022-10-23,Active
478,Personal Loan,390583.49,4.45,2025-01-04,2032-05-03,Active
449,Home Loan,453433.62,1.52,2020-11-16,2029-05-29,Active
849,Education Loan,494100.49,11.92,2024-06-30,2031-11-15,Active
966,Auto Loan,479345.39,10.03,2024-08-01,2029-03-17,Closed
544,Personal Loan,479833.42,13.52,2021-06-17,2030-04-13,Active
409,Education Loan,471120.84,12.99,2022-08-11,2031-10-01,Closed
623,Education Loan,236074.85,13.29,2020-09-02,2028-01-11,Pending
638,Personal Loan,114108.89,12.03,2023-03-23,2030-03-02,Pending
759,Home Loan,307301.49,4.34,2024-12-31,2030-03-07,Pending
937,Business Loan,154107.89,8.43,2024-11-22,2030-09-10,Default
489,Education Loan,251571.85,9.86,2022-05-01,2027-04-06,Pending
209,Business Loan,183388.33,9.99,2021-05-17,2030-11-21,Pending
836,Education Loan,424702.63,11.63,2023-07-22,2025-11-30,Closed
932,Education Loan,489066.34,5.13,2024-02-10,2027-02-18,Pending
391,Business Loan,496665.01,13.5,2025-01-12,2033-12-04,Pending
544,Business Loan,192348.36,6.33,2024-11-20,2033-07-14,Pending
296,Personal Loan,25120.43,6.91,2020-04-28,2029-06-28,Closed
717,Education Loan,215915.2,5.85,2023-06-08,2028-09-12,Closed
15,Home Loan,102529.4,9.78,2020-04-22,2026-09-15,Default
300,Auto Loan,318605.66,12.12,2023-12-20,2029-12-21,Active
807,Education Loan,198128.23,8.91,2023-11-07,2033-05-22,Default
941,Personal Loan,286821.7,7.61,2021-05-29,2028-03-17,Closed
82,Home Loan,170088.25,10.39,2023-06-04,2032-12-14,Closed
41,Education Loan,93254.71,10.76,2023-05-11,2025-11-13,Default
134,Education Loan,491548.69,8.28,2023-10-20,2029-02-04,Active
357,Auto Loan,64710.18,5.2,2023-02-20,2028-12-28,Closed
12,Business Loan,331649.3,8.48,2024-02-02,2025-03-16,Closed
979,Personal Loan,223886.63,13.06,2024-06-02,2029-05-17,Default
545,Home Loan,442341.13,8.51,2024-06-30,2034-01-11,Closed
964,Education Loan,117528.94,7.74,2023-12-11,2027-03-22,Closed
695,Education Loan,162961.65,5.34,2023-09-11,2029-10-23,Pending
820,Business Loan,395959.92,10.93,2020-10-26,2025-07-23,Default
398,Home Loan,314490.87,4.09,2024-02-10,2027-04-20,Closed
872,Business Loan,253297.36,3.05,2022-11-26,2032-07-27,Active
949,Personal Loan,418611.6,7.11,2024-08-08,2029-03-18,Default
455,Personal Loan,278074.16,5.96,2024-08-30,2028-07-30,Default
685,Home Loan,59160.77,12.69,2021-07-01,2029-12-14,Pending
765,Home Loan,289632.67,10.62,2023-09-05,2032-08-03,Active
458,Business Loan,256274.28,14.35,2022-01-07,2031-12-04,Active
573,Personal Loan,223239.96,8.14,2020-12-05,2029-06-13,Active
700,Education Loan,454752.1,10.17,2022-05-30,2027-07-12,Closed
927,Personal Loan,282290.42,1.72,2022-04-10,2027-10-25,Default
498,Education Loan,449433.39,13.26,2021-10-02,2029-02-09,Pending
970,Auto Loan,484290.06,6.86,2022-05-29,2025-10-30,Default
223,Personal Loan,163630.37,12.03,2025-01-10,2028-02-28,Closed
576,Auto Loan,164548.72,7.71,2024-08-20,2028-01-19,Pending
235,Home Loan,441142.52,5.68,2021-08-10,2022-08-11,Closed
96,Auto Loan,141081.45,10.14,2022-08-22,2023-12-23,Pending
205,Business Loan,216407.73,14.01,2021-12-29,2026-06-15,Closed
904,Business Loan,301600.45,5.66,2021-05-22,2023-07-03,Closed
95,Education Loan,122026.7,2.56,2021-12-23,2030-03-28,Active
942,Auto Loan,293574.21,7.3,2022-09-23,2024-01-08,Pending
440,Business Loan,39580.45,4.34,2021-01-16,2023-07-31,Default
563,Home Loan,238010.74,4.76,2022-05-27,2026-01-12,Pending
39,Education Loan,267391.82,3.28,2020-07-25,2029-04-21,Closed
656,Business Loan,432044.0,7.1,2024-05-29,2026-05-10,Pending
883,Home Loan,310845.66,5.54,2022-12-23,2031-02-06,Pending
956,Business Loan,103654.75,5.26,2022-02-22,2031-12-13,Active
107,Business Loan,485757.44,10.35,2023-10-18,2031-06-05,Closed
87,Personal Loan,364368.81,13.37,2021-05-01,2025-11-29,Active
540,Business Loan,128795.14,8.67,2024-11-08,2030-05-09,Closed
483,Home Loan,266555.79,8.79,2020-06-12,2028-03-19,Default
595,Business Loan,394329.79,11.5,2021-03-23,2028-09-15,Closed
270,Auto Loan,96748.27,11.37,2022-08-04,2032-07-25,Closed
877,Auto Loan,383349.44,7.54,2023-02-27,2030-08-28,Default
909,Home Loan,118523.83,2.89,2020-09-24,2022-06-22,Active
382,Business Loan,225725.99,2.81,2023-01-14,2032-02-02,Active
482,Education Loan,100584.64,11.39,2024-06-02,2028-09-24,Active
832,Home Loan,23728.41,4.95,2021-09-03,2027-07-29,Closed
167,Auto Loan,153476.95,13.56,2023-03-03,2025-12-15,Closed
507,Education Loan,252594.55,9.5,2020-10-28,2026-10-06,Pending
198,Personal Loan,156770.75,4.31,2023-02-20,2032-02-08,Active
735,Auto Loan,401223.05,6.66,2020-06-30,2023-09-19,Closed
606,Home Loan,434119.24,10.69,2024-11-13,2026-11-11,Closed
851,Auto Loan,452151.07,7.03,2022-01-25,2031-11-19,Active
257,Home Loan,46223.06,13.18,2023-09-01,2031-07-13,Active
323,Business Loan,384434.47,5.42,2020-03-08,2026-12-04,Closed
626,Home Loan,144749.15,7.48,2022-06-08,2025-08-04,Pending
955,Education Loan,135170.25,4.76,2022-03-13,2031-01-11,Default
986,Personal Loan,381416.36,7.64,2022-08-30,2025-05-23,Closed
389,Business Loan,101359.94,6.76,2020-06-09,2025-04-27,Closed
81,Business Loan,411074.42,12.96,2023-10-01,2033-01-02,Closed
541,Education Loan,209312.37,7.27,2023-01-17,2026-09-04,Active
896,Home Loan,455912.95,7.8,2024-08-19,2029-09-19,Default
578,Home Loan,69809.4,6.55,2020-10-28,2022-06-30,Default
937,Auto Loan,366765.74,2.73,2021-01-19,2026-07-13,Pending
427,Business Loan,348903.06,13.19,2021-10-24,2027-09-04,Active
75,Education Loan,306505.88,9.13,2024-12-29,2026-09-11,Default
225,Home Loan,33570.14,9.26,2024-04-08,2026-07-26,Default
556,Auto Loan,209203.43,3.5,2024-04-04,2033-10-19,Pending
145,Auto Loan,234103.15,5.95,2023-05-01,2031-01-30,Pending
540,Education Loan,51899.62,12.78,2020-02-24,2028-12-17,Default
997,Personal Loan,138816.02,4.88,2023-01-13,2031-09-16,Closed
51,Personal Loan,244626.67,3.03,2022-07-15,2029-07-29,Active
603,Home Loan,473258.69,12.66,2024-05-16,2027-11-26,Closed
598,Auto Loan,204880.55,4.03,2021-04-23,2029-04-25,Closed
547,Business Loan,362594.15,7.44,2024-10-11,2028-09-23,Closed
639,Business Loan,336592.36,5.06,2024-03-13,2031-07-17,Closed
604,Business Loan,210991.62,8.05,2023-10-27,2033-02-19,Closed
679,Education Loan,295110.0,2.04,2022-06-11,2025-06-18,Default
298,Personal Loan,398965.73,5.49,2021-08-22,2026-12-25,Closed
737,Education Loan,466755.93,13.64,2021-05-27,2026-07-28,Active
167,Education Loan,429668.85,5.25,2022-06-08,2030-06-22,Closed
695,Personal Loan,216138.88,3.14,2021-03-25,2022-07-09,Default
709,Business Loan,69592.78,2.32,2021-07-17,2028-05-01,Closed
429,Business Loan,363996.9,5.07,2025-01-20,2028-08-03,Active
420,Business Loan,228196.26,12.09,2024-03-31,2029-08-28,Default
807,Auto Loan,335298.95,13.54,2024-01-30,2027-03-03,Pending
495,Auto Loan,261704.73,3.81,2024-01-11,2031-01-28,Default
425,Auto Loan,424282.89,5.33,2023-10-14,2032-06-12,Closed
940,Business Loan,432496.63,2.8,2021-10-24,2029-01-10,Closed
584,Business Loan,282368.28,8.43,2022-03-24,2024-10-19,Active
816,Auto Loan,354378.45,2.15,2021-03-09,2023-07-08,Active
974,Home Loan,449261.63,8.84,2021-10-31,2031-10-16,Default
280,Business Loan,331567.07,4.23,2023-07-22,2033-02-23,Active
525,Education Loan,317922.78,4.06,2023-02-13,2027-01-09,Default
665,Auto Loan,89134.66,9.04,2022-01-16,2024-05-11,Closed
767,Personal Loan,340960.61,13.87,2020-09-23,2025-06-13,Closed
864,Business Loan,251971.36,6.96,2022-11-05,2031-06-13,Pending
499,Home Loan,444538.28,12.02,2023-05-13,2030-01-09,Active
168,Personal Loan,400964.59,2.91,2022-04-18,2026-07-28,Active
542,Home Loan,42847.0,10.09,2022-05-17,2025-06-15,Pending
608,Business Loan,384600.72,13.35,2020-06-06,2023-01-13,Closed
456,Education Loan,461054.26,14.28,2021-12-03,2030-11-06,Active
813,Personal Loan,263717.27,7.56,2023-04-19,2028-02-18,Closed
243,Home Loan,352724.18,3.31,2024-12-03,2033-01-07,Pending
992,Home Loan,45243.06,13.37,2020-05-22,2022-05-12,Pending
323,Personal Loan,90456.64,14.21,2020-10-04,2030-03-28,Active
814,Home Loan,371643.98,11.4,2023-04-29,2026-01-13,Pending
170,Auto Loan,494970.92,4.66,2022-08-10,2023-12-28,Active
506,Auto Loan,274166.63,11.11,2024-05-25,2027-11-25,Pending
994,Home Loan,244940.31,9.32,2021-05-29,2028-08-27,Closed
68,Education Loan,432061.12,11.18,2021-12-11,2025-05-23,Default
674,Personal Loan,363822.57,2.67,2023-10-26,2028-09-12,Active
124,Auto Loan,61622.27,12.98,2023-11-23,2027-12-05,Pending
723,Education Loan,122071.49,12.96,2024-05-28,2025-09-25,Pending
376,Auto Loan,463226.25,12.61,2024-04-22,2032-06-30,Closed
865,Home Loan,150724.38,5.59,2021-04-16,2029-09-04,Default
927,Personal Loan,5498.76,3.53,2021-09-15,2026-11-10,Active
678,Home Loan,342655.34,4.46,2021-02-04,2025-02-19,Pending
969,Personal Loan,41531.87,8.95,2023-07-22,2032-10-08,Active
750,Auto Loan,300515.99,7.56,2022-10-10,2026-02-24,Closed
923,Business Loan,495256.15,14.45,2022-01-10,2023-12-15,Closed
361,Auto Loan,383435.11,9.86,2024-04-22,2027-11-28,Pending
454,Home Loan,355894.41,4.01,2023-11-11,2031-04-03,Active
375,Education Loan,101961.35,13.18,2021-05-08,2031-03-28,Pending
158,Business Loan,246634.32,6.39,2024-06-29,2029-10-29,Active
704,Education Loan,492850.92,9.58,2023-06-02,2032-10-05,Closed
211,Home Loan,117839.04,3.43,2022-12-09,2024-11-01,Pending
144,Home Loan,151799.13,14.9,2022-11-06,2029-04-10,Pending
216,Personal Loan,314859.35,12.96,2024-08-06,2033-09-20,Closed
296,Business Loan,150051.99,5.9,2022-09-20,2031-04-18,Active
100,Auto Loan,177079.34,14.07,2021-07-21,2023-05-29,Default
654,Business Loan,25802.66,7.65,2020-03-21,2025-04-02,Active
368,Education Loan,62637.38,10.81,2023-10-20,2026-03-17,Default
201,Auto Loan,266721.86,12.87,2024-06-21,2028-04-20,Pending
498,Business Loan,90230.47,2.61,2022-08-23,2030-01-14,Active
160,Personal Loan,55438.45,7.35,2021-02-02,2029-12-12,Pending
197,Home Loan,14429.32,3.26,2020-08-30,2024-07-04,Closed
867,Education Loan,361787.12,6.99,2021-05-12,2027-03-19,Pending
958,Education Loan,179776.03,8.79,2023-06-21,2024-09-24,Pending
285,Home Loan,350185.09,13.49,2021-02-27,2029-04-10,Pending
130,Home Loan,237104.39,12.39,2020-05-28,2025-04-14,Default
154,Education Loan,229408.4,11.12,2020-06-22,2022-02-07,Active
986,Auto Loan,347149.59,2.58,2023-11-04,2026-07-15,Default
999,Business Loan,272734.16,11.71,2020-12-27,2028-02-21,Active
508,Auto Loan,351217.1,10.7,2022-05-05,2026-03-03,Pending
113,Education Loan,54198.94,14.84,2021-07-23,2031-01-02,Pending
244,Auto Loan,388426.27,3.58,2023-06-16,2025-03-30,Closed
911,Business Loan,430028.32,6.4,2021-11-22,2029-07-30,Pending
369,Auto Loan,257547.27,3.74,2021-08-21,2025-07-31,Pending
112,Personal Loan,8418.93,14.91,2024-05-31,2031-03-08,Active
586,Home Loan,293875.29,5.19,2023-02-24,2032-02-16,Active
536,Education Loan,81951.18,11.41,2023-08-01,2030-03-12,Default
777,Business Loan,458537.54,3.26,2024-04-13,2032-01-18,Active
525,Personal Loan,326728.72,5.56,2020-09-21,2027-10-08,Active
480,Auto Loan,189129.99,10.85,2022-03-10,2024-01-23,Default
347,Auto Loan,155286.3,2.45,2023-08-06,2030-06-14,Pending
170,Education Loan,193647.09,13.87,2021-10-26,2028-05-26,Pending
643,Personal Loan,305560.21,3.52,2021-08-20,2030-10-07,Active
985,Personal Loan,209678.2,9.52,2021-04-13,2028-03-16,Active
90,Auto Loan,64204.36,11.9,2022-12-17,2032-01-07,Closed
69,Personal Loan,55088.39,4.99,2022-08-06,2025-10-01,Active
694,Auto Loan,484787.57,14.07,2021-12-09,2031-03-23,Default
828,Education Loan,357458.04,2.15,2022-09-06,2032-07-15,Default
699,Business Loan,132861.44,3.15,2020-08-08,2023-03-11,Closed
919,Education Loan,26109.32,10.21,2021-12-15,2023-06-18,Default
406,Education Loan,135409.38,11.22,2024-10-03,2033-03-09,Default
184,Business Loan,467437.12,8.69,2022-11-30,2025-08-28,Pending
259,Business Loan,251156.35,6.55,2022-04-19,2030-08-19,Default
739,Business Loan,405754.71,4.96,2021-03-11,2026-03-10,Default
341,Auto Loan,65910.92,2.51,2024-06-19,2028-04-09,Closed
546,Business Loan,491602.26,6.8,2021-05-04,2031-01-19,Active
847,Auto Loan,202126.87,5.82,2021-06-02,2028-10-09,Default
868,Education Loan,36009.25,9.35,2023-06-30,2026-08-04,Default
919,Business Loan,407782.88,4.55,2021-03-22,2030-11-16,Active
231,Auto Loan,299818.76,5.73,2024-10-02,2030-09-17,Default
184,Education Loan,42660.34,13.46,2020-11-19,2026-02-03,Closed
439,Home Loan,257489.06,2.11,2020-05-04,2028-02-17,Default
978,Education Loan,19082.92,10.65,2020-11-03,2024-05-18,Default
562,Education Loan,464334.41,2.8,2024-11-15,2029-05-26,Default
650,Education Loan,378852.66,4.18,2020-08-11,2027-12-28,Default
823,Business Loan,65626.51,6.26,2021-01-01,2022-05-30,Active
472,Auto Loan,406906.99,6.78,2021-11-30,2025-11-26,Default
928,Auto Loan,286034.99,4.29,2021-09-12,2031-07-14,Default
512,Home Loan,351456.86,4.66,2024-07-08,2034-06-27,Closed
53,Auto Loan,495909.4,12.23,2023-10-08,2027-07-17,Active
233,Personal Loan,116682.47,11.2,2023-08-03,2026-04-26,Active
223,Business Loan,198976.9,7.32,2021-11-09,2029-02-18,Closed
97,Auto Loan,185195.39,7.4,2021-09-13,2024-01-22,Default
955,Auto Loan,28298.05,14.94,2024-07-29,2027-02-04,Pending
36,Auto Loan,250570.61,7.24,2021-07-16,2023-06-04,Active
854,Business Loan,351025.84,14.85,2023-06-04,2028-07-18,Active
102,Home Loan,371708.94,11.94,2020-07-14,2030-06-26,Default
426,Business Loan,91103.55,5.37,2024-12-21,2029-04-18,Closed
141,Business Loan,76760.56,5.95,2024-03-14,2030-09-11,Active
107,Business Loan,106522.04,12.77,2020-04-26,2029-10-16,Default
124,Education Loan,112558.62,14.42,2021-08-24,2027-11-14,Active
431,Personal Loan,459844.36,8.69,2020-06-10,2026-05-11,Active
279,Education Loan,307141.11,3.44,2021-08-08,2023-03-17,Closed
278,Home Loan,39837.85,6.45,2024-08-09,2027-01-06,Pending
613,Education Loan,129727.22,12.39,2024-05-06,2025-06-20,Closed
494,Personal Loan,428088.12,6.86,2023-06-04,2029-04-04,Active
506,Personal Loan,88514.02,9.77,2020-07-13,2026-04-07,Closed
255,Home Loan,375645.38,4.24,2023-12-26,2031-06-15,Pending
442,Auto Loan,428066.63,3.16,2020-06-26,2022-03-09,Active
20,Personal Loan,353240.3,1.62,2024-01-25,2026-04-10,Default
861,Home Loan,477065.82,11.51,2020-08-07,2028-10-19,Pending
92,Education Loan,460009.95,9.11,2021-11-29,2027-03-12,Pending
888,Education Loan,346649.74,9.52,2023-12-26,2027-06-15,Pending
286,Education Loan,7172.71,9.88,2024-05-29,2034-03-07,Closed
885,Home Loan,238666.75,5.34,2020-12-07,2022-11-30,Default
674,Auto Loan,122715.19,6.5,2022-11-28,2025-07-16,Active
410,Education Loan,60621.08,10.6,2023-02-28,2026-02-22,Pending
706,Education Loan,77541.85,6.99,2022-02-05,2024-02-16,Pending
775,Personal Loan,47318.65,2.08,2022-11-13,2025-11-28,Pending
938,Personal Loan,340236.74,11.8,2022-10-23,2028-12-04,Closed
498,Auto Loan,128240.83,14.96,2024-05-04,2028-11-17,Closed
866,Education Loan,15957.08,13.45,2020-08-04,2026-02-16,Default
951,Auto Loan,380009.32,14.02,2021-08-29,2030-08-07,Closed
623,Personal Loan,14865.36,9.82,2021-01-02,2024-04-04,Active
89,Home Loan,184543.9,10.61,2024-12-11,2031-05-31,Active
243,Education Loan,193731.64,12.11,2021-02-04,2028-10-20,Default
112,Home Loan,426533.75,13.31,2021-01-05,2027-09-06,Pending
787,Home Loan,480456.05,13.48,2020-02-29,2027-08-26,Active
923,Business Loan,78439.57,11.5,2023-07-18,2033-07-01,Pending
865,Auto Loan,252136.88,9.3,2024-09-17,2027-12-12,Default
65,Education Loan,95918.19,12.25,2022-11-30,2032-01-15,Active
332,Education Loan,457385.25,5.03,2022-04-13,2026-01-25,Default
675,Personal Loan,304091.41,6.26,2021-12-18,2026-07-11,Pending
323,Business Loan,362864.42,8.73,2020-12-14,2023-07-17,Closed
555,Business Loan,122959.92,13.59,2023-01-19,2026-01-24,Active
508,Education Loan,448025.16,3.67,2021-06-19,2027-05-15,Active
833,Personal Loan,325594.09,6.22,2024-08-18,2034-07-02,Closed
703,Education Loan,37807.39,8.84,2022-10-19,2024-10-19,Pending
900,Business Loan,279278.61,6.11,2020-05-05,2028-10-10,Pending
382,Personal Loan,95307.13,6.74,2022-11-26,2026-09-07,Default
500,Home Loan,27664.35,9.73,2024-02-23,2031-06-23,Pending
953,Personal Loan,413452.4,12.27,2021-05-24,2028-01-22,Active
893,Business Loan,144111.98,2.73,2024-03-18,2033-04-20,Closed
972,Home Loan,300518.44,7.71,2020-09-03,2029-08-13,Closed
976,Auto Loan,195027.28,6.42,2020-06-09,2025-12-28,Active
233,Auto Loan,107957.81,14.43,2022-04-04,2028-02-16,Active
279,Auto Loan,272461.8,13.16,2020-11-27,2029-10-29,Closed
425,Business Loan,14535.41,12.91,2021-06-22,2027-03-26,Pending
66,Home Loan,414056.53,7.41,2020-08-13,2030-07-23,Default
770,Home Loan,105910.3,9.17,2020-02-27,2024-03-05,Default
720,Personal Loan,478005.65,13.23,2023-09-04,2027-08-27,Default
767,Auto Loan,51608.75,4.15,2023-12-05,2028-06-23,Pending
224,Business Loan,19365.31,11.5,2021-12-27,2025-02-02,Active
236,Business Loan,247242.65,3.59,2022-01-24,2028-02-02,Default
768,Business Loan,79766.32,4.39,2021-03-27,2029-02-02,Default
831,Personal Loan,184805.39,11.37,2023-05-05,2029-01-21,Pending
656,Auto Loan,316012.57,9.17,2022-06-07,2030-02-15,Active
200,Auto Loan,205437.72,4.69,2024-02-11,2030-03-15,Closed
751,Personal Loan,379203.97,4.05,2020-07-10,2026-10-28,Default
873,Home Loan,485353.3,4.11,2020-06-05,2030-05-11,Active
885,Personal Loan,32136.15,7.61,2024-04-13,2032-07-20,Default
182,Education Loan,9895.7,10.57,2021-11-09,2031-03-26,Active
517,Auto Loan,408141.84,7.37,2022-04-18,2028-12-13,Pending
597,Personal Loan,492042.55,10.2,2022-08-02,2027-10-12,Closed
918,Auto Loan,393881.41,9.82,2024-11-05,2030-12-24,Default
308,Home Loan,250442.26,8.16,2022-10-06,2027-09-01,Default
532,Personal Loan,255826.28,13.96,2024-03-13,2026-10-18,Default
718,Education Loan,498400.04,9.65,2023-03-18,2030-06-21,Closed
922,Auto Loan,193485.52,4.02,2022-05-13,2026-04-03,Default
124,Auto Loan,181958.63,8.63,2021-04-27,2026-10-12,Default
377,Personal Loan,12016.38,3.41,2021-04-12,2025-04-01,Active
343,Education Loan,308867.73,3.69,2024-06-05,2026-12-09,Default
897,Business Loan,207033.2,5.16,2024-07-05,2032-12-28,Active
211,Auto Loan,53857.01,10.36,2021-03-23,2029-09-29,Active
321,Home Loan,397802.73,13.76,2023-04-27,2033-03-31,Closed
345,Business Loan,339089.31,11.55,2024-08-26,2029-12-14,Default
347,Education Loan,498428.82,9.89,2023-04-09,2031-01-10,Default
965,Education Loan,225045.67,14.92,2023-07-29,2028-03-21,Default
117,Education Loan,421238.71,8.32,2021-06-13,2026-10-17,Closed
402,Personal Loan,233108.46,3.61,2023-03-31,2032-10-11,Pending
575,Home Loan,368549.28,1.64,2021-06-26,2030-12-04,Pending
180,Education Loan,123221.96,2.11,2021-03-12,2028-03-06,Pending
815,Business Loan,176365.88,1.9,2022-04-06,2030-12-11,Default
309,Auto Loan,63079.19,12.67,2020-10-02,2026-12-01,Default
700,Auto Loan,220237.81,14.07,2021-02-01,2024-02-27,Closed
717,Home Loan,18429.07,6.77,2021-09-06,2027-06-13,Active
614,Business Loan,388044.76,13.83,2021-09-15,2023-07-13,Active
304,Business Loan,438147.98,14.29,2021-08-09,2030-09-20,Pending
49,Home Loan,407093.34,14.86,2020-07-14,2025-12-28,Default
634,Home Loan,408459.19,4.14,2024-06-20,2030-07-05,Active
443,Home Loan,493629.4,12.25,2024-09-16,2033-02-23,Pending
205,Business Loan,348654.96,1.75,2021-05-07,2025-08-20,Closed
258,Personal Loan,310096.3,14.69,2024-10-18,2030-11-20,Pending
188,Personal Loan,495278.14,5.18,2020-06-19,2030-03-02,Pending
417,Home Loan,302646.17,4.37,2022-06-23,2025-10-28,Default
808,Auto Loan,291442.57,2.41,2024-09-06,2028-07-25,Closed
637,Business Loan,228138.39,13.49,2024-12-18,2029-06-18,Pending
443,Home Loan,326930.0,10.44,2024-04-16,2028-07-28,Closed
144,Personal Loan,313316.19,2.91,2024-08-09,2031-02-16,Active
24,Education Loan,324408.69,5.82,2023-02-03,2025-04-01,Default
700,Auto Loan,44742.25,8.55,2021-06-15,2023-04-11,Pending
255,Personal Loan,465198.92,10.71,2021-11-01,2031-06-26,Closed
886,Education Loan,146575.4,7.83,2023-03-19,2025-11-11,Default
768,Personal Loan,455068.92,2.05,2021-03-03,2026-10-05,Default
637,Personal Loan,127300.83,6.94,2021-12-24,2023-05-23,Active
586,Home Loan,213620.41,3.35,2021-06-15,2028-06-08,Pending
661,Education Loan,478414.86,10.92,2023-02-11,2026-07-24,Active
295,Auto Loan,32023.03,13.38,2024-10-06,2027-01-14,Pending
586,Auto Loan,387301.89,12.61,2022-11-03,2030-07-31,Pending
898,Business Loan,216036.2,9.71,2023-04-15,2027-01-18,Active
536,Auto Loan,399360.77,6.92,2022-08-19,2029-08-19,Pending
464,Home Loan,410224.92,13.57,2022-05-07,2031-11-22,Pending
747,Education Loan,147883.57,10.62,2022-12-02,2031-11-24,Pending
551,Auto Loan,368266.62,10.22,2024-11-30,2031-10-18,Active
148,Education Loan,269322.3,4.96,2021-03-14,2026-01-14,Active
889,Education Loan,356573.37,9.59,2022-08-15,2025-03-13,Closed
50,Auto Loan,305063.76,10.21,2023-03-09,2030-01-21,Pending
758,Business Loan,343039.95,8.75,2024-08-26,2032-03-24,Default
125,Education Loan,10262.34,9.1,2023-04-12,2029-12-17,Active
785,Home Loan,265700.87,7.59,2022-04-06,2026-08-25,Default
360,Personal Loan,178379.51,12.29,2024-01-13,2030-11-21,Default
436,Education Loan,356691.45,1.94,2024-03-03,2034-02-09,Default
380,Education Loan,360009.44,7.62,2021-11-20,2027-04-16,Active
